Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,class
7,173,1211.0,24.714,0.207,0.86,1.34,251,1042,187,0
37,20,740.0,0.541,0.131,0.193,4.22,97,143,23,1
1,161,161.0,161.0,0.41,1.0,1.02,66,161,65,1
9,17,153.0,1.889,0.235,0.647,1.44,36,99,25,0
5,2,10.0,0.4,0.7,0.7,7.0,7,7,1,0
9,76,684.0,8.444,0.38,0.95,2.2,260,650,118,0
19,2,38.0,0.105,0.816,0.816,31.0,31,31,1,1
6,27,162.0,4.5,0.475,0.809,2.33,77,131,33,0
1,69,69.0,69.0,0.841,1.0,8.29,58,69,7,1
7,20,140.0,2.857,0.257,0.879,1.13,36,123,32,0
7,33,231.0,4.714,0.342,0.848,1.98,79,196,40,0
9,9,81.0,1.0,0.272,0.753,1.38,22,61,16,0
31,105,3255.0,3.387,0.242,0.456,4.89,787,1485,161,1
7,25,175.0,3.571,0.331,0.891,1.41,58,156,41,0
8,41,328.0,5.125,0.323,0.643,1.66,106,211,64,0
1,57,57.0,57.0,0.456,1.0,3.71,26,57,7,1
8,12,96.0,1.5,0.438,1.0,1.91,42,96,22,0
7,13,91.0,1.857,0.154,0.484,2.0,14,44,7,1
9,161,1449.0,17.889,0.273,0.521,2.41,396,755,164,0
7,213,1491.0,30.429,0.199,0.733,1.25,296,1093,237,0
8,16,128.0,2.0,0.156,0.859,5.0,20,110,4,1
1,39,39.0,39.0,0.308,1.0,1.71,12,39,7,1
11,221,2431.0,20.091,0.25,0.544,1.95,607,1323,312,0
1,52,52.0,52.0,0.788,1.0,10.25,41,52,4,1
10,26,260.0,2.6,0.3,0.954,1.59,78,248,49,0
10,1,10.0,0.1,1.0,1.0,10.0,10,10,1,1
5,39,195.0,7.8,0.41,0.867,1.67,80,169,48,0
6,15,90.0,2.5,0.278,0.744,1.92,25,67,13,0
27,4,108.0,0.148,0.38,0.75,2.56,41,81,16,1
7,31,217.0,4.429,0.276,0.788,1.25,60,171,48,0
6,13,78.0,2.167,0.256,0.974,1.54,20,76,13,0
1,51,51.0,51.0,0.471,1.0,2.4,24,51,10,1
1,81,81.0,81.0,0.901,1.0,24.33,73,81,3,1
14,2,28.0,0.143,0.536,0.536,15.0,15,15,1,1
22,22,484.0,1.0,0.107,0.473,1.79,52,229,29,1
7,91,637.0,13.0,0.179,0.816,1.24,114,520,92,0
1,20,20.0,20.0,0.55,1.0,1.38,11,20,8,1
2,16,32.0,8.0,0.25,0.531,2.67,8,17,3,1
10,33,330.0,3.3,0.318,0.758,2.33,105,250,45,0
54,357,19278.0,6.611,0.324,0.644,6.22,6238,12422,1003,1
29,32,928.0,1.103,0.476,0.72,7.25,442,668,61,1
8,5,40.0,0.625,0.35,0.6,3.5,14,24,4,0
8,241,1928.0,30.125,0.119,0.498,1.26,230,960,182,0
7,20,140.0,2.857,0.329,1.0,1.48,46,140,31,0
1,39,39.0,39.0,0.308,1.0,1.71,12,39,7,1
9,103,927.0,11.444,0.357,0.864,2.47,331,801,134,0
8,70,560.0,8.75,0.388,0.841,2.21,217,471,98,0
42,7,294.0,0.167,0.282,0.432,2.18,83,127,38,1
12,116,1392.0,9.667,0.331,0.756,2.62,461,1053,176,0
1,17,17.0,17.0,0.765,1.0,6.5,13,17,2,1
7,4,28.0,0.571,0.321,0.679,9.0,9,19,1,0
4,194,776.0,48.5,0.263,0.273,34.0,204,212,6,1
7,17,119.0,2.429,0.361,0.782,1.65,43,93,26,0
9,50,450.0,5.556,0.496,0.958,2.69,223,431,83,0
7,47,329.0,6.714,0.158,0.289,5.78,52,95,9,1
55,48,2640.0,0.873,0.142,0.364,4.26,375,960,88,1
31,105,3255.0,3.387,0.224,0.417,5.35,728,1358,136,1
44,3,132.0,0.068,0.598,0.841,2.47,79,111,32,1
1,124,124.0,124.0,0.444,1.0,7.86,55,124,7,1
7,191,1337.0,27.286,0.307,0.748,1.66,411,1000,247,0
1,10,10.0,10.0,1.0,1.0,10.0,10,10,1,1
8,41,328.0,5.125,0.323,0.643,1.66,106,211,64,0
1,278,278.0,278.0,0.946,1.0,29.22,263,278,9,1
2,101,202.0,50.5,0.54,0.743,10.9,109,150,10,1
1,47,47.0,47.0,1.0,1.0,47.0,47,47,1,1
11,22,242.0,2.0,0.624,0.88,9.44,151,213,16,0
14,416,5824.0,29.714,0.384,0.617,4.64,2234,3594,481,0
26,1,26.0,0.038,1.0,1.0,26.0,26,26,1,1
3,213,639.0,71.0,0.318,0.379,11.94,203,242,17,1
10,7,70.0,0.7,0.357,0.871,2.08,25,61,12,0
53,48,2544.0,0.906,0.157,0.269,7.84,400,685,51,1
9,36,324.0,4.0,0.491,0.84,3.31,159,272,48,0
1,29,29.0,29.0,0.586,1.0,2.13,17,29,8,1
1,58,58.0,58.0,0.845,1.0,9.8,49,58,5,1
25,300,7500.0,12.0,0.065,0.071,40.33,484,531,12,1
7,61,427.0,8.714,0.319,0.988,1.77,136,422,77,0
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1,1
28,281,7868.0,10.036,0.318,0.551,4.72,2502,4339,530,0
1,28,28.0,28.0,0.464,1.0,2.17,13,28,6,1
1,28,28.0,28.0,0.464,1.0,2.17,13,28,6,1
11,73,803.0,6.636,0.27,0.844,2.03,217,678,107,0
10,170,1700.0,17.0,0.499,0.928,4.35,849,1577,195,0
11,123,1353.0,11.182,0.48,0.656,5.74,649,887,113,0
27,1,27.0,0.037,1.0,1.0,27.0,27,27,1,1
8,40,320.0,5.0,0.456,0.997,2.7,146,319,54,0
7,8,56.0,1.143,0.357,0.893,2.22,20,50,9,0
7,18,126.0,2.571,0.262,0.873,1.94,33,110,17,0
83,277,22991.0,3.337,0.18,0.365,6.86,4138,8387,603,1
2,325,650.0,162.5,0.485,0.537,28.64,315,349,11,1
17,24,408.0,1.412,0.426,0.792,4.46,174,323,39,0
1,32,32.0,32.0,0.469,1.0,1.88,15,32,8,1
9,34,306.0,3.778,0.379,0.961,1.71,116,294,68,0
12,1,12.0,0.083,1.0,1.0,12.0,12,12,1,1
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1,1
3,11,33.0,3.667,0.364,0.667,3.0,12,22,4,1
14,1,14.0,0.071,1.0,1.0,14.0,14,14,1,1
9,91,819.0,10.111,0.32,0.773,2.2,262,633,119,0
7,38,266.0,5.429,0.286,0.748,1.69,76,199,45,0
1,15,15.0,15.0,0.533,1.0,2.0,8,15,4,1
10,430,4300.0,43.0,0.351,0.772,2.7,1508,3318,559,0
1,9,9.0,9.0,1.0,1.0,9.0,9,9,1,1
3,538,1614.0,179.33,0.37,0.424,22.11,597,685,27,1
9,26,234.0,2.889,0.316,0.88,1.85,74,206,40,0
9,18,162.0,2.0,0.278,0.716,1.67,45,116,27,0
19,2,38.0,0.105,0.816,0.816,31.0,31,31,1,1
1,145,145.0,145.0,0.972,1.0,35.25,141,145,4,1
1,33,33.0,33.0,0.667,1.0,3.67,22,33,6,1
1,180,180.0,180.0,0.983,1.0,88.5,177,180,2,1
9,40,360.0,4.444,0.483,0.992,2.85,174,357,61,0
29,31,899.0,1.069,0.463,0.726,6.93,416,653,60,1
7,8,56.0,1.143,0.357,1.0,2.86,20,56,7,0
10,9,90.0,0.9,0.689,0.789,10.33,62,71,6,0
153,158,24174.0,1.033,0.587,0.641,46.95,14180,15491,302,1
10,38,380.0,3.8,0.424,0.939,2.78,161,357,58,0
37,72,2664.0,1.946,0.12,0.257,7.64,321,685,42,1
7,29,203.0,4.143,0.305,0.837,1.48,62,170,42,0
15,61,915.0,4.067,0.247,0.515,1.87,226,471,121,0
9,194,1746.0,21.556,0.191,0.691,1.4,333,1207,238,0
6,6,36.0,1.0,0.194,0.417,3.5,7,15,2,1
38,342,12996.0,9.0,0.275,0.466,12.99,3573,6053,275,0
6,6,36.0,1.0,0.306,0.556,3.67,11,20,3,0
1,17,17.0,17.0,0.765,1.0,3.25,13,17,4,1
6,94,564.0,15.667,0.326,0.862,2.02,184,486,91,0
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1,1
6,25,150.0,4.167,0.273,0.787,1.17,41,118,35,0
20,16,320.0,0.8,0.5,0.572,26.67,160,183,6,0
17,342,5814.0,20.118,0.916,0.996,30.27,5328,5790,176,1
7,18,126.0,2.571,0.262,0.873,1.94,33,110,17,0
1,184,184.0,184.0,0.967,1.0,44.5,178,184,4,1
1,22,22.0,22.0,0.5,1.0,1.83,11,22,6,1
47,286,13442.0,6.085,0.183,0.317,4.67,2459,4258,526,1
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1,1
1,537,537.0,537.0,1.0,1.0,537.0,537,537,1,1
8,15,120.0,1.875,0.458,0.95,2.2,55,114,25,0
10,63,630.0,6.3,0.298,0.795,1.72,188,501,109,0
7,23,161.0,3.286,0.373,0.851,1.71,60,137,35,0
7,16,112.0,2.286,0.259,0.705,1.38,29,79,21,0
45,79,3555.0,1.756,0.087,0.195,4.81,308,693,64,1
14,402,5628.0,28.714,0.399,0.631,4.75,2248,3554,473,0
5,17,85.0,3.4,0.388,0.859,1.83,33,73,18,0
1,40,40.0,40.0,1.0,1.0,40.0,40,40,1,1
7,13,91.0,1.857,0.154,0.484,2.0,14,44,7,1
7,36,252.0,5.143,0.409,0.861,1.84,103,217,56,0
1,58,58.0,58.0,0.845,1.0,9.8,49,58,5,1
1,17,17.0,17.0,0.412,1.0,1.75,7,17,4,1
1,161,161.0,161.0,0.41,1.0,1.02,66,161,65,1
8,51,408.0,6.375,0.37,0.743,2.19,151,303,69,0
3,538,1614.0,179.33,0.37,0.424,22.11,597,685,27,1
1,117,117.0,117.0,0.393,1.0,5.75,46,117,8,1
5,8,40.0,1.6,0.375,0.475,15.0,15,19,1,0
7,16,112.0,2.286,0.241,0.634,1.93,27,71,14,0
187,141,26367.0,0.754,0.415,0.884,4.69,10947,23301,2333,1
2,18,36.0,9.0,0.806,0.833,29.0,29,30,1,1
11,86,946.0,7.818,0.413,0.853,3.1,391,807,126,0
11,96,1056.0,8.727,0.331,0.954,4.32,350,1007,81,0
7,59,413.0,8.429,0.228,0.659,1.24,94,272,76,0
10,22,220.0,2.2,0.309,0.582,2.34,68,128,29,0
5,7,35.0,1.4,0.229,0.6,2.67,8,21,3,1
9,16,144.0,1.778,0.326,0.792,1.74,47,114,27,0
12,1,12.0,0.083,1.0,1.0,12.0,12,12,1,1
1,26,26.0,26.0,1.0,1.0,26.0,26,26,1,1
8,133,1064.0,16.625,0.272,0.825,1.78,289,878,162,0
16,439,7024.0,27.438,0.384,0.724,5.09,2696,5084,530,0
2,116,232.0,58.0,0.616,0.802,17.88,143,186,8,1
7,243,1701.0,34.714,0.198,0.48,1.48,336,817,227,0
12,56,672.0,4.667,0.256,0.827,2.02,172,556,85,0
91,285,25935.0,3.132,0.158,0.165,113.89,4100,4287,36,1
54,48,2592.0,0.889,0.143,0.264,6.85,370,685,54,1
1,152,152.0,152.0,0.822,1.0,11.36,125,152,11,1
10,534,5340.0,53.4,0.132,0.519,1.28,703,2771,548,0
10,19,190.0,1.9,0.542,0.768,7.36,103,146,14,0
7,240,1680.0,34.286,0.215,0.538,1.64,362,904,221,0
10,19,190.0,1.9,0.6,0.858,7.6,114,163,15,0
8,36,288.0,4.5,0.615,0.938,3.22,177,270,55,0
8,12,96.0,1.5,0.417,0.802,2.11,40,77,19,0
1,7,7.0,7.0,1.0,1.0,7.0,7,7,1,1
5,9,45.0,1.8,0.333,1.0,1.88,15,45,8,0
10,38,380.0,3.8,0.434,0.892,2.89,165,339,57,0
2,69,138.0,34.5,0.623,0.906,10.75,86,125,8,1
9,184,1656.0,20.444,0.206,0.659,1.36,341,1091,251,0
10,19,190.0,1.9,0.563,0.837,8.23,107,159,13,0
9,10,90.0,1.111,0.144,0.522,6.5,13,47,2,1
7,15,105.0,2.143,0.448,0.829,1.74,47,87,27,0
5,39,195.0,7.8,0.338,0.903,1.35,66,176,49,0
12,257,3084.0,21.417,0.283,0.615,3.0,872,1898,291,0
7,11,77.0,1.571,0.39,0.766,1.76,30,59,17,0
8,25,200.0,3.125,0.31,0.67,1.63,62,134,38,0
42,7,294.0,0.167,0.282,0.432,2.18,83,127,38,1
10,511,5110.0,51.1,0.158,0.625,1.35,805,3194,596,0
7,43,301.0,6.143,0.219,0.983,1.27,66,296,52,0
9,24,216.0,2.667,0.356,0.907,2.2,77,196,35,0
5,51,255.0,10.2,0.314,0.831,1.63,80,212,49,0
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1,1
7,41,287.0,5.857,0.422,1.0,1.73,121,287,70,0
1,114,114.0,114.0,0.939,1.0,21.4,107,114,5,1
10,12,120.0,1.2,0.333,0.867,1.82,40,104,22,0
1,69,69.0,69.0,0.841,1.0,8.29,58,69,7,1
1,32,32.0,32.0,0.469,1.0,1.88,15,32,8,1
5,34,170.0,6.8,0.141,0.594,1.26,24,101,19,0
197,198,39006.0,1.005,0.273,0.332,46.93,10654,12964,227,1
7,17,119.0,2.429,0.269,0.899,1.52,32,107,21,0
9,64,576.0,7.111,0.491,0.984,2.57,283,567,110,0
8,12,96.0,1.5,0.479,1.0,2.19,46,96,21,0
28,32,896.0,1.143,0.488,0.743,7.05,437,666,62,1
2,69,138.0,34.5,0.623,0.906,10.75,86,125,8,1
10,20,200.0,2.0,0.485,0.68,8.82,97,136,11,0
2,25,50.0,12.5,0.36,1.0,4.5,18,50,4,1
6,14,84.0,2.333,0.274,0.929,1.28,23,78,18,0
22,1,22.0,0.045,1.0,1.0,22.0,22,22,1,1
12,8,96.0,0.667,0.792,1.0,15.2,76,96,5,0
28,31,868.0,1.107,0.508,0.767,7.47,441,666,59,1
1,78,78.0,78.0,0.949,1.0,24.67,74,78,3,1
32,350,11200.0,10.938,0.142,0.402,3.96,1588,4497,401,1
11,262,2882.0,23.818,0.238,0.57,1.84,685,1643,373,0
10,553,5530.0,55.3,0.797,0.884,21.3,4409,4890,207,1
4,8,32.0,2.0,0.344,0.531,5.5,11,17,2,1
2,537,1074.0,268.5,0.507,0.528,181.33,544,567,3,1
1,379,379.0,379.0,0.963,1.0,60.83,365,379,6,1
7,11,77.0,1.571,0.117,0.494,1.8,9,38,5,1
7,7,49.0,1.0,0.408,0.857,2.22,20,42,9,0
11,236,2596.0,21.455,0.354,0.803,2.91,920,2084,316,0
2,101,202.0,50.5,0.54,0.743,10.9,109,150,10,1
6,28,168.0,4.667,0.149,0.375,1.47,25,63,17,0
8,21,168.0,2.625,0.339,0.673,1.97,57,113,29,0
1,172,172.0,172.0,0.465,1.0,1.04,80,172,77,1
1,124,124.0,124.0,0.444,1.0,7.86,55,124,7,1
12,71,852.0,5.917,0.631,0.904,6.64,538,770,81,0
