idx1,idx2,attribute_count,in_all_attrs
73,114,18,True
72,197,18,True
44,59,18,True
44,64,18,True
72,158,18,True
15,151,18,True
37,185,18,True
6,84,18,True
102,133,18,True
134,144,18,True
134,147,18,True
73,152,18,True
1,111,18,True
73,98,18,True
37,118,18,True
16,136,18,True
16,125,18,True
55,186,18,True
135,180,18,True
135,138,18,True
6,9,18,True
56,79,18,True
17,72,18,True
56,98,18,True
135,158,18,True
98,193,18,True
17,90,18,True
44,71,18,True
44,48,18,True
73,193,18,True
136,174,18,True
135,195,18,True
136,137,18,True
17,104,18,True
17,109,18,True
17,120,18,True
17,128,18,True
42,59,18,True
48,85,18,True
36,195,18,True
98,114,18,True
17,158,18,True
17,180,18,True
17,197,18,True
137,174,18,True
17,184,18,True
165,187,18,True
165,191,18,True
1,155,18,True
74,87,18,True
63,174,18,True
27,69,18,True
5,122,18,True
97,151,18,True
96,198,18,True
56,161,18,True
138,168,18,True
5,106,18,True
42,64,18,True
36,138,18,True
56,193,18,True
96,176,18,True
163,191,18,True
164,169,18,True
165,175,18,True
138,153,18,True
95,196,18,True
48,59,18,True
95,151,18,True
36,115,18,True
138,195,18,True
138,197,18,True
95,97,18,True
42,100,18,True
42,104,18,True
36,88,18,True
19,76,18,True
163,175,18,True
163,178,18,True
26,181,18,True
26,182,18,True
140,142,18,True
94,101,18,True
19,103,18,True
19,110,18,True
42,120,18,True
4,195,18,True
93,168,18,True
93,138,18,True
36,60,18,True
142,160,18,True
93,115,18,True
19,162,18,True
19,169,18,True
92,180,18,True
1,184,18,True
163,187,18,True
162,164,18,True
162,169,18,True
163,165,18,True
1,195,18,True
63,136,18,True
63,137,18,True
26,150,18,True
92,195,18,True
92,197,18,True
47,155,18,True
42,131,18,True
92,104,18,True
26,68,18,True
76,110,18,True
26,105,18,True
20,35,18,True
144,152,18,True
144,154,18,True
92,115,18,True
92,120,18,True
91,130,18,True
91,142,18,True
4,146,18,True
4,131,18,True
91,160,18,True
90,197,18,True
57,159,18,True
90,184,18,True
43,195,18,True
76,149,18,True
76,162,18,True
76,169,18,True
145,157,18,True
145,162,18,True
145,164,18,True
145,169,18,True
57,173,18,True
20,117,18,True
20,122,18,True
90,128,18,True
90,131,18,True
90,104,18,True
90,109,18,True
159,173,18,True
2,56,18,True
90,120,18,True
4,82,18,True
58,84,18,True
90,92,18,True
89,141,18,True
146,166,18,True
4,43,18,True
4,47,18,True
4,50,18,True
58,122,18,True
58,159,18,True
88,187,18,True
42,180,18,True
88,135,18,True
88,115,18,True
88,120,18,True
77,157,18,True
33,118,18,True
77,112,18,True
35,117,18,True
4,7,18,True
88,92,18,True
21,134,18,True
147,154,18,True
21,144,18,True
21,147,18,True
21,152,18,True
87,136,18,True
87,123,18,True
158,195,18,True
158,197,18,True
157,169,18,True
25,121,18,True
63,87,18,True
33,133,18,True
78,106,18,True
43,50,18,True
47,82,18,True
59,100,18,True
35,84,18,True
86,170,18,True
86,107,18,True
149,169,18,True
85,165,18,True
85,175,18,True
156,180,18,True
156,187,18,True
33,173,18,True
158,184,18,True
85,180,18,True
85,187,18,True
22,150,18,True
85,88,18,True
59,163,18,True
59,165,18,True
84,122,18,True
152,154,18,True
59,180,18,True
59,187,18,True
59,191,18,True
34,175,18,True
2,79,18,True
43,88,18,True
43,93,18,True
47,50,18,True
83,110,18,True
82,195,18,True
82,166,18,True
82,153,18,True
60,120,18,True
2,193,18,True
23,183,18,True
24,28,18,True
60,138,18,True
60,158,18,True
81,166,18,True
43,115,18,True
81,132,18,True
79,193,18,True
79,161,18,True
61,159,18,True
25,55,18,True
153,195,18,True
60,195,18,True
60,197,18,True
61,84,18,True
61,122,18,True
155,184,18,True
80,87,18,True
44,156,18,True
195,197,18,True
44,187,18,True
189,194,18,True
184,197,18,True
0,21,18,True
40,130,17,False
0,32,17,False
0,10,17,False
0,28,17,False
0,24,17,False
31,74,17,False
31,97,17,False
31,95,17,False
66,120,17,False
66,115,17,False
66,132,17,False
66,131,17,False
184,195,17,False
31,45,17,False
31,49,17,False
66,158,17,False
184,187,17,False
0,74,17,False
45,55,17,False
31,63,17,False
31,80,17,False
31,87,17,False
66,123,17,False
66,126,17,False
187,191,17,False
187,195,17,False
121,182,17,False
121,186,17,False
121,198,17,False
80,151,17,False
80,152,17,False
24,139,17,False
80,137,17,False
24,151,17,False
61,106,17,False
61,114,17,False
34,48,17,False
34,53,17,False
80,123,17,False
24,163,17,False
80,126,17,False
154,194,17,False
61,129,17,False
61,133,17,False
61,148,17,False
24,95,17,False
60,187,17,False
34,85,17,False
34,88,17,False
61,78,17,False
80,196,17,False
81,82,17,False
24,97,17,False
80,174,17,False
43,146,17,False
46,116,17,False
43,120,17,False
43,131,17,False
2,185,17,False
34,69,17,False
80,147,17,False
46,89,17,False
43,135,17,False
43,138,17,False
155,158,17,False
155,180,17,False
79,147,17,False
79,170,17,False
25,39,17,False
33,177,17,False
61,173,17,False
154,181,17,False
154,182,17,False
2,161,17,False
2,170,17,False
154,161,17,False
24,74,17,False
60,131,17,False
82,93,17,False
60,135,17,False
60,153,17,False
34,115,17,False
46,141,17,False
43,104,17,False
43,109,17,False
43,111,17,False
81,146,17,False
60,165,17,False
60,168,17,False
81,123,17,False
81,131,17,False
25,26,17,False
46,77,17,False
60,90,17,False
60,92,17,False
23,124,17,False
82,163,17,False
82,138,17,False
82,146,17,False
23,129,17,False
60,104,17,False
60,109,17,False
60,111,17,False
60,115,17,False
23,144,17,False
23,159,17,False
153,184,17,False
153,155,17,False
60,128,17,False
43,85,17,False
43,90,17,False
83,164,17,False
83,169,17,False
83,103,17,False
83,112,17,False
83,117,17,False
83,149,17,False
82,168,17,False
153,165,17,False
153,168,17,False
3,25,17,False
152,196,17,False
34,165,17,False
60,85,17,False
60,88,17,False
155,195,17,False
155,197,17,False
156,158,17,False
156,163,17,False
156,165,17,False
156,175,17,False
2,118,17,False
2,119,17,False
79,86,17,False
79,98,17,False
79,107,17,False
61,183,17,False
2,86,17,False
158,165,17,False
34,179,17,False
83,162,17,False
34,190,17,False
34,191,17,False
59,175,17,False
59,178,17,False
84,173,17,False
22,194,17,False
84,102,17,False
84,117,17,False
152,181,17,False
3,49,17,False
151,196,17,False
152,161,17,False
59,190,17,False
59,195,17,False
59,196,17,False
25,68,17,False
85,111,17,False
85,115,17,False
85,120,17,False
22,198,17,False
85,92,17,False
22,181,17,False
22,182,17,False
59,156,17,False
43,81,17,False
43,82,17,False
47,69,17,False
151,174,17,False
59,158,17,False
59,168,17,False
34,187,17,False
34,188,17,False
150,189,17,False
47,70,17,False
47,72,17,False
59,135,17,False
59,138,17,False
59,153,17,False
85,138,17,False
85,156,17,False
85,158,17,False
85,163,17,False
150,194,17,False
151,154,17,False
85,127,17,False
85,131,17,False
85,93,17,False
85,100,17,False
156,179,17,False
156,184,17,False
156,191,17,False
2,98,17,False
156,196,17,False
156,197,17,False
33,159,17,False
33,161,17,False
25,105,17,False
63,66,17,False
158,187,17,False
22,116,17,False
150,170,17,False
150,172,17,False
150,181,17,False
150,182,17,False
86,150,17,False
85,190,17,False
85,191,17,False
85,195,17,False
86,89,17,False
43,59,17,False
43,60,17,False
43,66,17,False
42,191,17,False
149,162,17,False
149,164,17,False
22,107,17,False
85,168,17,False
85,178,17,False
85,179,17,False
156,178,17,False
87,95,17,False
87,97,17,False
59,111,17,False
59,120,17,False
35,58,17,False
59,127,17,False
59,131,17,False
150,154,17,False
148,181,17,False
148,183,17,False
148,186,17,False
3,139,17,False
86,182,17,False
22,68,17,False
86,116,17,False
86,141,17,False
157,162,17,False
157,164,17,False
33,148,17,False
25,144,17,False
78,122,17,False
78,129,17,False
63,80,17,False
78,102,17,False
42,197,17,False
43,47,17,False
47,93,17,False
59,85,17,False
59,93,17,False
59,94,17,False
59,95,17,False
35,83,17,False
87,174,17,False
87,151,17,False
21,161,17,False
21,172,17,False
87,166,17,False
87,137,17,False
148,152,17,False
148,173,17,False
147,189,17,False
21,193,17,False
21,196,17,False
22,26,17,False
87,126,17,False
42,195,17,False
42,196,17,False
2,73,17,False
4,36,17,False
21,97,17,False
21,139,17,False
88,93,17,False
21,123,17,False
21,126,17,False
59,64,17,False
147,193,17,False
147,151,17,False
147,172,17,False
3,189,17,False
59,66,17,False
59,69,17,False
59,82,17,False
21,151,17,False
21,154,17,False
43,158,17,False
43,163,17,False
158,168,17,False
158,180,17,False
25,152,17,False
77,140,17,False
25,172,17,False
33,114,17,False
63,95,17,False
58,173,17,False
58,177,17,False
35,110,17,False
21,124,17,False
88,104,17,False
88,111,17,False
21,95,17,False
47,100,17,False
47,104,17,False
47,111,17,False
42,175,17,False
42,178,17,False
42,184,17,False
88,138,17,False
88,156,17,False
88,158,17,False
21,66,17,False
21,73,17,False
88,131,17,False
25,134,17,False
45,186,17,False
43,153,17,False
43,155,17,False
21,24,17,False
21,25,17,False
58,133,17,False
35,122,17,False
88,180,17,False
88,191,17,False
47,123,17,False
42,163,17,False
42,165,17,False
21,32,17,False
21,38,17,False
21,39,17,False
88,195,17,False
88,165,17,False
88,168,17,False
21,49,17,False
57,198,17,False
58,61,17,False
20,159,17,False
21,28,17,False
89,150,17,False
89,170,17,False
89,185,17,False
58,96,17,False
58,102,17,False
4,42,17,False
146,155,17,False
58,117,17,False
88,197,17,False
89,107,17,False
89,116,17,False
89,119,17,False
43,178,17,False
45,181,17,False
159,161,17,False
159,176,17,False
159,183,17,False
25,186,17,False
25,189,17,False
25,194,17,False
77,130,17,False
159,198,17,False
2,30,17,False
2,37,17,False
90,115,17,False
4,59,17,False
4,60,17,False
4,69,17,False
90,158,17,False
47,131,17,False
47,132,17,False
47,138,17,False
42,155,17,False
42,156,17,False
145,149,17,False
20,110,17,False
90,168,17,False
90,135,17,False
90,138,17,False
20,133,17,False
90,153,17,False
90,111,17,False
25,181,17,False
43,175,17,False
43,165,17,False
43,168,17,False
26,38,17,False
77,102,17,False
76,113,17,False
76,145,17,False
76,164,17,False
63,97,17,False
33,96,17,False
4,93,17,False
144,183,17,False
144,186,17,False
57,176,17,False
57,183,17,False
57,192,17,False
90,155,17,False
36,42,17,False
36,43,17,False
57,133,17,False
91,145,17,False
4,111,17,False
4,115,17,False
90,195,17,False
20,83,17,False
20,84,17,False
91,113,17,False
57,148,17,False
90,180,17,False
20,102,17,False
2,38,17,False
2,39,17,False
43,191,17,False
26,55,17,False
26,73,17,False
1,197,17,False
163,168,17,False
161,173,17,False
63,123,17,False
63,125,17,False
63,126,17,False
75,125,17,False
1,180,17,False
92,109,17,False
144,151,17,False
4,138,17,False
42,158,17,False
20,58,17,False
20,61,17,False
26,141,17,False
63,151,17,False
92,128,17,False
92,131,17,False
92,138,17,False
42,135,17,False
142,185,17,False
4,153,17,False
92,155,17,False
92,156,17,False
92,158,17,False
92,165,17,False
92,108,17,False
33,102,17,False
75,190,17,False
76,83,17,False
93,104,17,False
93,109,17,False
4,155,17,False
4,163,17,False
144,148,17,False
4,166,17,False
4,168,17,False
93,111,17,False
93,120,17,False
19,164,17,False
92,187,17,False
1,187,17,False
161,193,17,False
26,107,17,False
26,114,17,False
75,81,17,False
93,158,17,False
93,163,17,False
93,165,17,False
93,166,17,False
141,170,17,False
141,185,17,False
4,184,17,False
19,130,17,False
93,128,17,False
93,131,17,False
93,135,17,False
19,145,17,False
19,149,17,False
19,157,17,False
57,118,17,False
57,129,17,False
57,105,17,False
57,114,17,False
36,72,17,False
93,175,17,False
93,178,17,False
93,180,17,False
47,166,17,False
42,111,17,False
42,115,17,False
140,185,17,False
140,192,17,False
93,191,17,False
93,195,17,False
93,196,17,False
19,112,17,False
93,153,17,False
33,58,17,False
74,151,17,False
43,180,17,False
43,184,17,False
74,136,17,False
74,137,17,False
26,172,17,False
74,147,17,False
1,158,17,False
19,77,17,False
94,127,17,False
5,6,17,False
5,9,17,False
140,160,17,False
19,83,17,False
94,100,17,False
94,184,17,False
94,191,17,False
47,195,17,False
139,174,17,False
57,96,17,False
57,98,17,False
36,90,17,False
36,93,17,False
94,155,17,False
94,156,17,False
94,163,17,False
94,165,17,False
94,175,17,False
33,54,17,False
33,56,17,False
33,57,17,False
95,178,17,False
18,163,17,False
18,178,17,False
95,163,17,False
95,165,17,False
18,180,17,False
57,73,17,False
36,104,17,False
36,111,17,False
95,137,17,False
95,147,17,False
139,189,17,False
95,126,17,False
95,127,17,False
94,178,17,False
94,180,17,False
36,120,17,False
36,128,17,False
36,131,17,False
96,106,17,False
95,191,17,False
5,61,17,False
138,180,17,False
138,184,17,False
5,78,17,False
5,84,17,False
138,191,17,False
48,53,17,False
96,102,17,False
18,191,17,False
95,174,17,False
95,175,17,False
165,179,17,False
165,180,17,False
32,196,17,False
33,37,17,False
74,123,17,False
26,189,17,False
26,194,17,False
74,97,17,False
27,32,17,False
96,133,17,False
42,88,17,False
42,90,17,False
42,92,17,False
138,158,17,False
57,58,17,False
57,61,17,False
56,159,17,False
36,158,17,False
138,165,17,False
137,190,17,False
5,102,17,False
42,66,17,False
18,94,17,False
36,165,17,False
96,159,17,False
96,173,17,False
96,177,17,False
18,101,17,False
165,197,17,False
163,190,17,False
163,195,17,False
165,178,17,False
165,196,17,False
1,153,17,False
27,47,17,False
27,48,17,False
74,95,17,False
27,74,17,False
97,137,17,False
42,72,17,False
48,64,17,False
48,69,17,False
97,147,17,False
97,124,17,False
97,126,17,False
18,53,17,False
18,59,17,False
97,127,17,False
97,196,17,False
17,168,17,False
17,195,17,False
36,197,17,False
36,168,17,False
136,196,17,False
137,151,17,False
36,180,17,False
56,152,17,False
97,152,17,False
97,163,17,False
97,174,17,False
1,131,17,False
1,138,17,False
165,190,17,False
165,195,17,False
98,154,17,False
98,161,17,False
17,131,17,False
98,134,17,False
17,135,17,False
17,138,17,False
48,72,17,False
42,47,17,False
42,48,17,False
42,50,17,False
42,53,17,False
56,133,17,False
36,187,17,False
98,107,17,False
98,118,17,False
17,156,17,False
43,197,17,False
166,168,17,False
63,196,17,False
64,65,17,False
32,174,17,False
32,179,17,False
73,181,17,False
73,182,17,False
27,80,17,False
27,85,17,False
73,161,17,False
73,144,17,False
135,191,17,False
135,197,17,False
98,182,17,False
17,115,17,False
99,189,17,False
99,194,17,False
56,73,17,False
37,79,17,False
99,172,17,False
17,60,17,False
5,176,17,False
135,156,17,False
135,165,17,False
135,175,17,False
56,105,17,False
56,107,17,False
17,92,17,False
17,93,17,False
56,114,17,False
74,80,17,False
55,181,17,False
100,155,17,False
100,156,17,False
100,163,17,False
100,165,17,False
16,178,17,False
16,179,17,False
55,194,17,False
55,198,17,False
56,57,17,False
37,98,17,False
17,36,17,False
16,190,17,False
135,184,17,False
134,196,17,False
16,196,17,False
48,104,17,False
42,43,17,False
42,44,17,False
134,151,17,False
134,152,17,False
37,119,17,False
100,196,17,False
16,127,17,False
16,137,17,False
100,184,17,False
100,187,17,False
100,179,17,False
100,180,17,False
37,130,17,False
55,176,17,False
55,177,17,False
168,180,17,False
1,104,17,False
1,115,17,False
1,120,17,False
73,154,17,False
27,125,17,False
27,127,17,False
27,137,17,False
64,69,17,False
64,71,17,False
64,81,17,False
73,105,17,False
48,93,17,False
48,94,17,False
48,95,17,False
48,100,17,False
16,69,17,False
16,70,17,False
16,74,17,False
16,75,17,False
134,172,17,False
134,139,17,False
6,55,17,False
6,57,17,False
6,58,17,False
55,134,17,False
37,140,17,False
37,142,17,False
16,80,17,False
16,87,17,False
48,92,17,False
73,147,17,False
55,105,17,False
55,106,17,False
55,114,17,False
102,122,17,False
102,130,17,False
6,61,17,False
133,192,17,False
133,198,17,False
48,111,17,False
16,27,17,False
102,140,17,False
102,112,17,False
55,121,17,False
37,160,17,False
101,191,17,False
16,63,17,False
32,137,17,False
32,147,17,False
72,156,17,False
72,168,17,False
72,180,17,False
103,160,17,False
103,162,17,False
103,164,17,False
15,136,17,False
15,137,17,False
103,130,17,False
48,127,17,False
48,131,17,False
133,161,17,False
102,177,17,False
15,174,17,False
15,95,17,False
133,176,17,False
133,177,17,False
6,105,17,False
6,106,17,False
48,153,17,False
104,115,17,False
15,126,17,False
15,127,17,False
103,145,17,False
72,187,17,False
27,163,17,False
27,166,17,False
168,178,17,False
73,79,17,False
32,136,17,False
168,197,17,False
1,85,17,False
1,88,17,False
27,188,17,False
27,191,17,False
28,31,17,False
72,155,17,False
72,131,17,False
104,156,17,False
15,74,17,False
104,168,17,False
48,155,17,False
48,175,17,False
38,56,17,False
38,57,17,False
104,138,17,False
105,114,17,False
105,121,17,False
104,187,17,False
104,195,17,False
6,129,17,False
6,133,17,False
54,170,17,False
54,173,17,False
54,176,17,False
38,79,17,False
15,59,17,False
15,63,17,False
104,155,17,False
27,175,17,False
72,138,17,False
168,196,17,False
64,100,17,False
32,123,17,False
32,126,17,False
72,108,17,False
1,36,17,False
1,42,17,False
1,43,17,False
172,182,17,False
14,191,17,False
14,195,17,False
48,179,17,False
48,180,17,False
48,190,17,False
48,191,17,False
48,195,17,False
48,196,17,False
71,197,17,False
28,87,17,False
14,155,17,False
14,156,17,False
6,159,17,False
132,166,17,False
131,191,17,False
14,165,17,False
14,168,17,False
105,150,17,False
14,180,17,False
15,32,17,False
14,187,17,False
72,135,17,False
170,182,17,False
170,193,17,False
14,111,17,False
14,115,17,False
6,173,17,False
131,175,17,False
6,181,17,False
6,192,17,False
54,116,17,False
38,105,17,False
105,177,17,False
72,115,17,False
28,63,17,False
28,95,17,False
72,88,17,False
72,92,17,False
72,93,17,False
28,69,17,False
54,96,17,False
54,105,17,False
54,107,17,False
106,181,17,False
131,187,17,False
131,156,17,False
131,163,17,False
131,165,17,False
6,198,17,False
7,11,17,False
7,12,17,False
106,183,17,False
14,92,17,False
14,93,17,False
106,122,17,False
106,129,17,False
174,189,17,False
172,194,17,False
173,176,17,False
173,177,17,False
173,183,17,False
173,192,17,False
28,108,17,False
71,184,17,False
71,158,17,False
71,165,17,False
71,115,17,False
14,66,17,False
107,116,17,False
14,85,17,False
130,192,17,False
38,147,17,False
130,162,17,False
130,169,17,False
7,42,17,False
7,43,17,False
7,44,17,False
7,47,17,False
7,48,17,False
14,42,17,False
14,43,17,False
14,47,17,False
14,48,17,False
14,53,17,False
107,141,17,False
14,59,17,False
14,60,17,False
64,131,17,False
49,121,17,False
49,136,17,False
14,36,17,False
108,123,17,False
38,161,17,False
38,144,17,False
7,59,17,False
7,64,17,False
130,157,17,False
107,189,17,False
107,193,17,False
107,194,17,False
108,115,17,False
14,71,17,False
107,172,17,False
131,138,17,False
28,136,17,False
28,137,17,False
64,156,17,False
44,120,17,False
44,90,17,False
44,92,17,False
44,104,17,False
173,198,17,False
64,165,17,False
64,178,17,False
32,95,17,False
71,94,17,False
54,55,17,False
13,163,17,False
108,132,17,False
13,180,17,False
53,187,17,False
53,188,17,False
109,153,17,False
109,131,17,False
7,82,17,False
7,90,17,False
7,92,17,False
109,138,17,False
13,100,17,False
13,108,17,False
109,115,17,False
108,196,17,False
109,111,17,False
53,195,17,False
71,120,17,False
71,131,17,False
38,182,17,False
109,195,17,False
49,174,17,False
128,195,17,False
109,197,17,False
110,113,17,False
13,59,17,False
109,180,17,False
109,155,17,False
109,158,17,False
109,168,17,False
13,69,17,False
49,147,17,False
53,178,17,False
53,179,17,False
53,180,17,False
1,4,17,False
1,7,17,False
1,8,17,False
1,11,17,False
1,12,17,False
1,14,17,False
175,179,17,False
28,147,17,False
28,151,17,False
71,104,17,False
28,163,17,False
28,174,17,False
71,88,17,False
71,90,17,False
110,192,17,False
38,181,17,False
12,195,17,False
12,196,17,False
7,128,17,False
7,132,17,False
128,197,17,False
7,165,17,False
128,168,17,False
7,138,17,False
128,180,17,False
12,197,17,False
110,145,17,False
110,157,17,False
110,164,17,False
110,169,17,False
71,100,17,False
174,190,17,False
7,166,17,False
7,175,17,False
12,156,17,False
12,158,17,False
111,131,17,False
111,138,17,False
12,175,17,False
50,59,17,False
50,60,17,False
7,180,17,False
128,153,17,False
12,179,17,False
12,180,17,False
111,115,17,False
12,190,17,False
12,191,17,False
29,34,17,False
28,191,17,False
64,180,17,False
44,109,17,False
175,187,17,False
175,190,17,False
0,189,17,False
64,187,17,False
64,191,17,False
32,69,17,False
111,155,17,False
111,158,17,False
7,156,17,False
128,131,17,False
128,135,17,False
128,138,17,False
50,69,17,False
50,70,17,False
127,178,17,False
7,184,17,False
12,131,17,False
111,197,17,False
12,168,17,False
111,178,17,False
111,184,17,False
111,187,17,False
12,138,17,False
53,120,17,False
53,131,17,False
53,135,17,False
39,45,17,False
71,92,17,False
32,63,17,False
29,71,17,False
70,166,17,False
176,186,17,False
65,81,17,False
29,94,17,False
70,108,17,False
29,127,17,False
65,95,17,False
127,156,17,False
127,165,17,False
127,168,17,False
112,149,17,False
112,162,17,False
112,169,17,False
12,127,17,False
53,85,17,False
113,149,17,False
8,13,17,False
8,17,17,False
8,18,17,False
127,151,17,False
12,115,17,False
12,120,17,False
12,92,17,False
12,93,17,False
12,94,17,False
53,95,17,False
53,104,17,False
7,191,17,False
29,44,17,False
29,53,17,False
12,53,17,False
114,133,17,False
114,134,17,False
39,87,17,False
114,124,17,False
8,36,17,False
8,42,17,False
8,43,17,False
8,48,17,False
12,44,17,False
113,169,17,False
12,60,17,False
12,64,17,False
12,66,17,False
12,69,17,False
12,71,17,False
70,82,17,False
178,191,17,False
0,134,17,False
0,147,17,False
177,198,17,False
69,187,17,False
69,190,17,False
29,156,17,False
29,163,17,False
69,165,17,False
69,166,17,False
69,175,17,False
12,13,17,False
12,15,17,False
12,18,17,False
114,147,17,False
114,173,17,False
11,165,17,False
8,60,17,False
8,66,17,False
8,71,17,False
126,196,17,False
126,174,17,False
8,72,17,False
8,85,17,False
11,168,17,False
114,181,17,False
114,182,17,False
114,154,17,False
114,161,17,False
11,187,17,False
31,189,17,False
69,163,17,False
29,188,17,False
44,131,17,False
178,180,17,False
178,190,17,False
30,54,17,False
65,163,17,False
30,79,17,False
39,114,17,False
114,186,17,False
126,154,17,False
8,90,17,False
8,92,17,False
8,100,17,False
11,155,17,False
11,156,17,False
11,115,17,False
115,180,17,False
115,153,17,False
115,158,17,False
50,132,17,False
40,192,17,False
126,134,17,False
115,165,17,False
115,120,17,False
115,128,17,False
115,131,17,False
115,135,17,False
11,135,17,False
29,175,17,False
29,180,17,False
31,172,17,False
69,80,17,False
69,82,17,False
30,89,17,False
179,187,17,False
179,191,17,False
180,184,17,False
69,85,17,False
69,87,17,False
68,172,17,False
68,181,17,False
68,189,17,False
30,105,17,False
126,144,17,False
8,104,17,False
8,111,17,False
11,109,17,False
116,141,17,False
116,150,17,False
11,71,17,False
116,177,17,False
8,135,17,False
125,174,17,False
125,188,17,False
125,190,17,False
39,147,17,False
52,162,17,False
52,169,17,False
39,121,17,False
115,187,17,False
115,191,17,False
115,195,17,False
68,198,17,False
118,140,17,False
10,193,17,False
52,145,17,False
52,157,17,False
39,134,17,False
39,144,17,False
11,36,17,False
11,42,17,False
8,138,17,False
8,163,17,False
8,165,17,False
8,166,17,False
11,43,17,False
11,44,17,False
116,185,17,False
116,194,17,False
31,139,17,False
31,151,17,False
180,191,17,False
180,197,17,False
181,182,17,False
181,186,17,False
68,170,17,False
68,121,17,False
68,116,17,False
65,191,17,False
52,112,17,False
39,152,17,False
11,12,17,False
50,155,17,False
118,130,17,False
118,133,17,False
39,189,17,False
10,154,17,False
119,141,17,False
52,83,17,False
52,102,17,False
52,103,17,False
39,172,17,False
118,177,17,False
118,185,17,False
125,137,17,False
8,187,17,False
10,161,17,False
10,172,17,False
118,173,17,False
39,181,17,False
65,166,17,False
181,198,17,False
182,193,17,False
30,172,17,False
30,177,17,False
30,182,17,False
66,168,17,False
30,198,17,False
40,52,17,False
10,97,17,False
119,185,17,False
51,196,17,False
52,76,17,False
8,195,17,False
8,196,17,False
8,197,17,False
39,186,17,False
10,56,17,False
120,155,17,False
120,156,17,False
120,165,17,False
120,168,17,False
50,168,17,False
9,57,17,False
9,58,17,False
124,148,17,False
124,151,17,False
10,73,17,False
66,70,17,False
66,72,17,False
31,123,17,False
31,126,17,False
31,137,17,False
