dataset;method;model;Precision;Recall;F1-Score;G mean;Balanced Accuracy
iris0;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
iris0;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
kddcup-guess_passwd_vs_satan;casTGAN;KNN;0.0;0.0;0.0;0.0;0.5
kddcup-guess_passwd_vs_satan;casTGAN;Random Forest;1.0;0.06;0.12;0.25;0.53
kddcup-guess_passwd_vs_satan;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.49
kddcup-guess_passwd_vs_satan;casTGAN;XGBoost;0.5;0.31;0.38;0.56;0.65
kddcup-guess_passwd_vs_satan;casTGAN;AdaBoost;0.6;0.56;0.58;0.75;0.77
kddcup-guess_passwd_vs_satan;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.5
kddcup-guess_passwd_vs_satan;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
kddcup-guess_passwd_vs_satan;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
kddcup-guess_passwd_vs_satan;casTGAN;Logistic Regression;0.33;0.19;0.24;0.43;0.59
Migraine_onevsrest_0;casTGAN;KNN;0.64;0.52;0.58;0.5;0.5
Migraine_onevsrest_0;casTGAN;Random Forest;0.5;0.34;0.41;0.37;0.37
Migraine_onevsrest_0;casTGAN;Decision Tree;0.72;0.42;0.53;0.55;0.57
Migraine_onevsrest_0;casTGAN;XGBoost;0.6;0.51;0.55;0.44;0.45
Migraine_onevsrest_0;casTGAN;AdaBoost;0.67;0.6;0.63;0.53;0.53
Migraine_onevsrest_0;casTGAN;Gradient Boosting;0.57;0.48;0.52;0.42;0.42
Migraine_onevsrest_0;casTGAN;Extra Trees;0.43;0.27;0.34;0.32;0.32
Migraine_onevsrest_0;casTGAN;Neural Network (MLP);0.59;0.6;0.6;0.4;0.44
Migraine_onevsrest_0;casTGAN;Logistic Regression;0.73;0.59;0.65;0.6;0.6
Migraine_onevsrest_1;casTGAN;KNN;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_1;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_1;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.47
Migraine_onevsrest_1;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.49
Migraine_onevsrest_1;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.48
Migraine_onevsrest_1;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.49
Migraine_onevsrest_1;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_1;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_1;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;KNN;0.0;0.0;0.0;0.0;0.43
Migraine_onevsrest_2;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_2;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_3;casTGAN;KNN;0.1;0.17;0.12;0.39;0.54
Migraine_onevsrest_3;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_3;casTGAN;Decision Tree;0.16;0.5;0.24;0.65;0.68
Migraine_onevsrest_3;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.46
Migraine_onevsrest_3;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.38
Migraine_onevsrest_3;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.47
Migraine_onevsrest_3;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_3;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.46
Migraine_onevsrest_3;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
Migraine_onevsrest_4;casTGAN;KNN;0.08;1.0;0.14;0.68;0.73
Migraine_onevsrest_4;casTGAN;Random Forest;0.08;0.4;0.14;0.57;0.6
Migraine_onevsrest_4;casTGAN;Decision Tree;0.03;0.4;0.06;0.44;0.44
Migraine_onevsrest_4;casTGAN;XGBoost;0.07;0.6;0.12;0.6;0.6
Migraine_onevsrest_4;casTGAN;AdaBoost;0.04;0.2;0.06;0.39;0.48
Migraine_onevsrest_4;casTGAN;Gradient Boosting;0.12;1.0;0.21;0.81;0.83
Migraine_onevsrest_4;casTGAN;Extra Trees;0.11;0.4;0.17;0.58;0.62
Migraine_onevsrest_4;casTGAN;Neural Network (MLP);0.04;0.2;0.06;0.39;0.49
Migraine_onevsrest_4;casTGAN;Logistic Regression;0.12;0.2;0.15;0.43;0.57
Migraine_onevsrest_5;casTGAN;KNN;0.06;0.75;0.12;0.67;0.68
Migraine_onevsrest_5;casTGAN;Random Forest;0.04;1.0;0.08;0.46;0.6
Migraine_onevsrest_5;casTGAN;Decision Tree;0.02;0.5;0.04;0.35;0.37
Migraine_onevsrest_5;casTGAN;XGBoost;0.03;0.5;0.05;0.41;0.42
Migraine_onevsrest_5;casTGAN;AdaBoost;0.02;0.5;0.04;0.17;0.28
Migraine_onevsrest_5;casTGAN;Gradient Boosting;0.04;1.0;0.08;0.39;0.58
Migraine_onevsrest_5;casTGAN;Extra Trees;0.04;1.0;0.07;0.32;0.55
Migraine_onevsrest_5;casTGAN;Neural Network (MLP);0.04;1.0;0.07;0.23;0.53
Migraine_onevsrest_5;casTGAN;Logistic Regression;0.11;1.0;0.2;0.84;0.85
new-thyroid1;casTGAN;KNN;0.0;0.0;0.0;0.0;0.5
new-thyroid1;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.46
new-thyroid1;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.49
new-thyroid1;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.5
new-thyroid1;casTGAN;AdaBoost;0.2;0.09;0.12;0.29;0.51
new-thyroid1;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.49
new-thyroid1;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
new-thyroid1;casTGAN;Neural Network (MLP);0.33;0.27;0.3;0.49;0.58
new-thyroid1;casTGAN;Logistic Regression;0.8;0.36;0.5;0.6;0.67
newthyroid2;casTGAN;KNN;0.17;0.45;0.24;0.49;0.5
newthyroid2;casTGAN;Random Forest;0.2;0.18;0.19;0.39;0.52
newthyroid2;casTGAN;Decision Tree;0.2;0.18;0.19;0.39;0.52
newthyroid2;casTGAN;XGBoost;0.12;0.18;0.14;0.36;0.45
newthyroid2;casTGAN;AdaBoost;0.33;0.55;0.41;0.65;0.66
newthyroid2;casTGAN;Gradient Boosting;0.31;0.45;0.37;0.6;0.63
newthyroid2;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
newthyroid2;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.49
newthyroid2;casTGAN;Logistic Regression;0.05;0.27;0.09;0.1;0.15
Obesity_onevsrest_0;casTGAN;KNN;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_0;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_1;casTGAN;KNN;0.21;0.65;0.32;0.63;0.63
Obesity_onevsrest_1;casTGAN;Random Forest;0.27;0.24;0.25;0.46;0.57
Obesity_onevsrest_1;casTGAN;Decision Tree;0.25;0.4;0.31;0.57;0.61
Obesity_onevsrest_1;casTGAN;XGBoost;0.19;0.22;0.21;0.44;0.54
Obesity_onevsrest_1;casTGAN;AdaBoost;0.25;0.35;0.29;0.54;0.59
Obesity_onevsrest_1;casTGAN;Gradient Boosting;0.21;0.16;0.19;0.39;0.53
Obesity_onevsrest_1;casTGAN;Extra Trees;0.18;0.21;0.19;0.42;0.53
Obesity_onevsrest_1;casTGAN;Neural Network (MLP);0.27;0.75;0.4;0.71;0.72
Obesity_onevsrest_1;casTGAN;Logistic Regression;0.22;0.74;0.34;0.66;0.66
Obesity_onevsrest_2;casTGAN;KNN;0.3;0.51;0.37;0.64;0.66
Obesity_onevsrest_2;casTGAN;Random Forest;0.38;0.42;0.4;0.61;0.66
Obesity_onevsrest_2;casTGAN;Decision Tree;0.17;0.29;0.21;0.48;0.54
Obesity_onevsrest_2;casTGAN;XGBoost;0.31;0.37;0.34;0.57;0.62
Obesity_onevsrest_2;casTGAN;AdaBoost;0.36;0.57;0.44;0.69;0.71
Obesity_onevsrest_2;casTGAN;Gradient Boosting;0.27;0.29;0.28;0.5;0.58
Obesity_onevsrest_2;casTGAN;Extra Trees;0.47;0.22;0.3;0.46;0.59
Obesity_onevsrest_2;casTGAN;Neural Network (MLP);0.32;0.75;0.45;0.75;0.75
Obesity_onevsrest_2;casTGAN;Logistic Regression;0.24;0.37;0.29;0.55;0.6
Obesity_onevsrest_3;casTGAN;KNN;0.19;0.39;0.25;0.53;0.56
Obesity_onevsrest_3;casTGAN;Random Forest;0.14;0.21;0.16;0.4;0.5
Obesity_onevsrest_3;casTGAN;Decision Tree;0.16;0.45;0.23;0.52;0.53
Obesity_onevsrest_3;casTGAN;XGBoost;0.15;0.29;0.19;0.46;0.51
Obesity_onevsrest_3;casTGAN;AdaBoost;0.18;0.4;0.25;0.53;0.55
Obesity_onevsrest_3;casTGAN;Gradient Boosting;0.15;0.25;0.19;0.44;0.51
Obesity_onevsrest_3;casTGAN;Extra Trees;0.33;0.16;0.22;0.39;0.55
Obesity_onevsrest_3;casTGAN;Neural Network (MLP);0.21;0.56;0.31;0.61;0.61
Obesity_onevsrest_3;casTGAN;Logistic Regression;0.16;0.64;0.26;0.55;0.56
Obesity_onevsrest_4;casTGAN;KNN;0.34;0.8;0.47;0.74;0.74
Obesity_onevsrest_4;casTGAN;Random Forest;0.31;0.41;0.35;0.58;0.61
Obesity_onevsrest_4;casTGAN;Decision Tree;0.3;0.32;0.31;0.52;0.59
Obesity_onevsrest_4;casTGAN;XGBoost;0.43;0.42;0.42;0.61;0.65
Obesity_onevsrest_4;casTGAN;AdaBoost;0.33;0.71;0.45;0.71;0.71
Obesity_onevsrest_4;casTGAN;Gradient Boosting;0.4;0.4;0.4;0.59;0.64
Obesity_onevsrest_4;casTGAN;Extra Trees;0.34;0.3;0.32;0.52;0.59
Obesity_onevsrest_4;casTGAN;Neural Network (MLP);0.3;0.24;0.27;0.46;0.56
Obesity_onevsrest_4;casTGAN;Logistic Regression;0.17;0.32;0.22;0.47;0.5
Obesity_onevsrest_5;casTGAN;KNN;0.73;0.12;0.21;0.35;0.56
Obesity_onevsrest_5;casTGAN;Random Forest;1.0;0.01;0.02;0.11;0.51
Obesity_onevsrest_5;casTGAN;Decision Tree;0.92;0.13;0.24;0.37;0.57
Obesity_onevsrest_5;casTGAN;XGBoost;1.0;0.01;0.02;0.11;0.51
Obesity_onevsrest_5;casTGAN;AdaBoost;1.0;0.01;0.02;0.11;0.51
Obesity_onevsrest_5;casTGAN;Gradient Boosting;1.0;0.03;0.07;0.18;0.52
Obesity_onevsrest_5;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_5;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_5;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
Obesity_onevsrest_6;casTGAN;KNN;0.54;0.78;0.64;0.83;0.83
Obesity_onevsrest_6;casTGAN;Random Forest;0.88;0.8;0.84;0.89;0.89
Obesity_onevsrest_6;casTGAN;Decision Tree;0.52;0.49;0.51;0.67;0.7
Obesity_onevsrest_6;casTGAN;XGBoost;0.66;0.57;0.61;0.73;0.76
Obesity_onevsrest_6;casTGAN;AdaBoost;0.96;0.95;0.95;0.97;0.97
Obesity_onevsrest_6;casTGAN;Gradient Boosting;0.82;0.61;0.7;0.77;0.79
Obesity_onevsrest_6;casTGAN;Extra Trees;0.85;0.54;0.66;0.73;0.76
Obesity_onevsrest_6;casTGAN;Neural Network (MLP);0.93;0.97;0.95;0.98;0.98
Obesity_onevsrest_6;casTGAN;Logistic Regression;0.68;1.0;0.81;0.96;0.96
page-blocks-1-3_vs_4;casTGAN;KNN;0.4;0.25;0.31;0.49;0.61
page-blocks-1-3_vs_4;casTGAN;Random Forest;0.5;0.12;0.2;0.35;0.56
page-blocks-1-3_vs_4;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.49
page-blocks-1-3_vs_4;casTGAN;XGBoost;0.5;0.38;0.43;0.61;0.68
page-blocks-1-3_vs_4;casTGAN;AdaBoost;0.45;0.62;0.53;0.77;0.79
page-blocks-1-3_vs_4;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.49
page-blocks-1-3_vs_4;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
page-blocks-1-3_vs_4;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.47
page-blocks-1-3_vs_4;casTGAN;Logistic Regression;0.25;0.88;0.39;0.86;0.86
pima;casTGAN;KNN;1.0;0.04;0.07;0.19;0.52
pima;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.5
pima;casTGAN;Decision Tree;0.67;0.12;0.21;0.35;0.55
pima;casTGAN;XGBoost;1.0;0.01;0.02;0.11;0.51
pima;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.5
pima;casTGAN;Gradient Boosting;0.67;0.05;0.09;0.22;0.52
pima;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
pima;casTGAN;Neural Network (MLP);0.67;0.03;0.05;0.16;0.51
pima;casTGAN;Logistic Regression;0.5;0.06;0.11;0.25;0.51
transfusion;casTGAN;KNN;0.22;0.23;0.22;0.41;0.49
transfusion;casTGAN;Random Forest;0.57;0.08;0.13;0.27;0.53
transfusion;casTGAN;Decision Tree;0.48;0.19;0.27;0.42;0.56
transfusion;casTGAN;XGBoost;0.31;0.09;0.14;0.3;0.52
transfusion;casTGAN;AdaBoost;0.5;0.02;0.04;0.14;0.51
transfusion;casTGAN;Gradient Boosting;0.32;0.15;0.21;0.37;0.53
transfusion;casTGAN;Extra Trees;1.0;0.02;0.04;0.14;0.51
transfusion;casTGAN;Neural Network (MLP);0.5;0.47;0.49;0.63;0.66
transfusion;casTGAN;Logistic Regression;0.58;0.13;0.22;0.36;0.55
vowel0;casTGAN;KNN;0.63;0.44;0.52;0.66;0.71
vowel0;casTGAN;Random Forest;1.0;0.19;0.31;0.43;0.59
vowel0;casTGAN;Decision Tree;0.32;0.3;0.31;0.53;0.62
vowel0;casTGAN;XGBoost;1.0;0.26;0.41;0.51;0.63
vowel0;casTGAN;AdaBoost;0.69;0.74;0.71;0.85;0.85
vowel0;casTGAN;Gradient Boosting;1.0;0.26;0.41;0.51;0.63
vowel0;casTGAN;Extra Trees;0.55;0.22;0.32;0.47;0.6
vowel0;casTGAN;Neural Network (MLP);0.41;0.78;0.54;0.83;0.83
vowel0;casTGAN;Logistic Regression;0.83;0.7;0.76;0.83;0.84
yeast1;casTGAN;KNN;0.42;0.41;0.42;0.56;0.59
yeast1;casTGAN;Random Forest;0.59;0.12;0.21;0.35;0.54
yeast1;casTGAN;Decision Tree;0.47;0.2;0.28;0.43;0.55
yeast1;casTGAN;XGBoost;0.59;0.23;0.33;0.47;0.58
yeast1;casTGAN;AdaBoost;0.41;0.64;0.5;0.64;0.64
yeast1;casTGAN;Gradient Boosting;0.56;0.15;0.23;0.37;0.55
yeast1;casTGAN;Extra Trees;0.6;0.02;0.04;0.15;0.51
yeast1;casTGAN;Neural Network (MLP);0.56;0.28;0.37;0.5;0.6
yeast1;casTGAN;Logistic Regression;0.52;0.19;0.27;0.42;0.56
yeast3;casTGAN;KNN;0.2;0.84;0.32;0.7;0.71
yeast3;casTGAN;Random Forest;0.65;0.27;0.38;0.51;0.62
yeast3;casTGAN;Decision Tree;0.25;0.18;0.21;0.41;0.56
yeast3;casTGAN;XGBoost;0.56;0.45;0.5;0.66;0.7
yeast3;casTGAN;AdaBoost;0.66;0.43;0.52;0.65;0.7
yeast3;casTGAN;Gradient Boosting;0.56;0.29;0.38;0.53;0.63
yeast3;casTGAN;Extra Trees;1.0;0.04;0.08;0.2;0.52
yeast3;casTGAN;Neural Network (MLP);0.25;0.88;0.39;0.77;0.78
yeast3;casTGAN;Logistic Regression;0.53;0.61;0.57;0.76;0.77
abalone9-18;smote;KNN;0.27;0.69;0.39;0.78;0.79
abalone9-18;smote;Random Forest;0.39;0.54;0.45;0.71;0.74
abalone9-18;smote;Decision Tree;0.19;0.38;0.26;0.59;0.64
abalone9-18;smote;XGBoost;0.39;0.54;0.45;0.71;0.74
abalone9-18;smote;AdaBoost;0.26;0.62;0.36;0.74;0.75
abalone9-18;smote;Gradient Boosting;0.3;0.46;0.36;0.66;0.7
abalone9-18;smote;Extra Trees;0.33;0.46;0.39;0.66;0.7
abalone9-18;smote;Neural Network (MLP);0.28;0.77;0.41;0.82;0.82
abalone9-18;smote;Logistic Regression;0.3;0.85;0.44;0.86;0.86
cleveland-0_vs_4;smote;KNN;0.13;0.5;0.21;0.61;0.62
cleveland-0_vs_4;smote;Random Forest;1.0;0.5;0.67;0.71;0.75
cleveland-0_vs_4;smote;Decision Tree;0.43;0.75;0.55;0.83;0.83
cleveland-0_vs_4;smote;XGBoost;0.4;0.5;0.44;0.69;0.72
cleveland-0_vs_4;smote;AdaBoost;0.67;0.5;0.57;0.7;0.74
cleveland-0_vs_4;smote;Gradient Boosting;0.4;0.5;0.44;0.69;0.72
cleveland-0_vs_4;smote;Extra Trees;1.0;0.5;0.67;0.71;0.75
cleveland-0_vs_4;smote;Neural Network (MLP);0.3;0.75;0.43;0.8;0.8
cleveland-0_vs_4;smote;Logistic Regression;0.43;0.75;0.55;0.83;0.83
dermatology-6;smote;KNN;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;Decision Tree;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;XGBoost;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;AdaBoost;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
dermatology-6;smote;Logistic Regression;1.0;1.0;1.0;1.0;1.0
ecoli-0_vs_1;smote;KNN;0.97;0.91;0.94;0.93;0.93
ecoli-0_vs_1;smote;Random Forest;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;smote;Decision Tree;0.98;0.93;0.95;0.94;0.94
ecoli-0_vs_1;smote;XGBoost;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;smote;AdaBoost;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;smote;Gradient Boosting;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;smote;Extra Trees;0.98;0.95;0.96;0.96;0.96
ecoli-0_vs_1;smote;Neural Network (MLP);0.97;0.91;0.94;0.93;0.93
ecoli-0_vs_1;smote;Logistic Regression;0.97;0.91;0.94;0.93;0.93
ecoli1;smote;KNN;0.7;0.83;0.76;0.86;0.86
ecoli1;smote;Random Forest;0.78;0.91;0.84;0.92;0.92
ecoli1;smote;Decision Tree;0.74;0.74;0.74;0.83;0.83
ecoli1;smote;XGBoost;0.76;0.7;0.73;0.81;0.82
ecoli1;smote;AdaBoost;0.68;0.91;0.78;0.89;0.89
ecoli1;smote;Gradient Boosting;0.82;0.78;0.8;0.86;0.87
ecoli1;smote;Extra Trees;0.73;0.83;0.78;0.87;0.87
ecoli1;smote;Neural Network (MLP);0.67;0.78;0.72;0.83;0.83
ecoli1;smote;Logistic Regression;0.67;0.87;0.75;0.87;0.87
iris0;smote;KNN;1.0;1.0;1.0;1.0;1.0
iris0;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
iris0;smote;Decision Tree;1.0;1.0;1.0;1.0;1.0
iris0;smote;XGBoost;0.94;1.0;0.97;0.98;0.98
iris0;smote;AdaBoost;1.0;1.0;1.0;1.0;1.0
iris0;smote;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
iris0;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
iris0;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
iris0;smote;Logistic Regression;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;KNN;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;Decision Tree;0.8;1.0;0.89;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;XGBoost;0.8;1.0;0.89;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;AdaBoost;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;Neural Network (MLP);0.89;1.0;0.94;1.0;1.0
kddcup-guess_passwd_vs_satan;smote;Logistic Regression;0.94;1.0;0.97;1.0;1.0
Migraine_onevsrest_0;smote;KNN;0.78;0.86;0.82;0.7;0.71
Migraine_onevsrest_0;smote;Random Forest;0.92;0.99;0.95;0.92;0.92
Migraine_onevsrest_0;smote;Decision Tree;0.94;1.0;0.97;0.94;0.94
Migraine_onevsrest_0;smote;XGBoost;0.94;1.0;0.97;0.94;0.94
Migraine_onevsrest_0;smote;AdaBoost;0.92;0.97;0.95;0.91;0.91
Migraine_onevsrest_0;smote;Gradient Boosting;0.94;0.99;0.96;0.93;0.93
Migraine_onevsrest_0;smote;Extra Trees;0.92;1.0;0.96;0.92;0.93
Migraine_onevsrest_0;smote;Neural Network (MLP);0.93;0.95;0.94;0.91;0.91
Migraine_onevsrest_0;smote;Logistic Regression;0.91;0.96;0.93;0.89;0.89
Migraine_onevsrest_1;smote;KNN;0.71;0.83;0.77;0.88;0.89
Migraine_onevsrest_1;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
