dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;mDCR
pima;SMOTECDNN;0.076 ± 0.000;3.536 ± 0.000;8.442 ± 0.000;0.896 ± 0.000;0.059 ± 0.000;0.778 ± 0.000;0.375 ± 0.000
transfusion;SMOTECDNN;0.077 ± 0.000;2.915 ± 0.000;4.248 ± 0.000;1.144 ± 0.000;0.098 ± 0.000;0.731 ± 0.000;2.236 ± 0.000
vowel0;SMOTECDNN;0.137 ± 0.000;2.586 ± 0.000;10.036 ± 0.000;2.503 ± 0.000;0.115 ± 0.000;0.686 ± 0.000;0.488 ± 0.000
yeast1;SMOTECDNN;0.039 ± 0.000;3.916 ± 0.000;5.479 ± 0.000;0.873 ± 0.000;0.05 ± 0.000;0.843 ± 0.000;0.387 ± 0.000
yeast3;SMOTECDNN;0.116 ± 0.000;2.433 ± 0.000;3.249 ± 0.000;2.717 ± 0.000;0.09 ± 0.000;0.785 ± 0.000;0.398 ± 0.000
abalone9-18;SYRFD_thr2;0.114 ± 0.000;2.121 ± 0.000;5.01 ± 0.000;2.437 ± 0.000;0.112 ± 0.000;0.763 ± 0.000;2.684 ± 0.000
cleveland-0_vs_4;SYRFD_thr2;0.377 ± 0.000;1.132 ± 0.000;7.449 ± 0.000;8.612 ± 0.000;0.276 ± 0.000;nan ± 0.000;1.4317450110379848e+18 ± 0.000
dermatology-6;SYRFD_thr2;0.13 ± 0.000;2.308 ± 0.000;18.024 ± 0.000;5.144 ± 0.000;0.148 ± 0.000;0.735 ± 0.000;2.558103139350818e+18 ± 0.000
iris0;SYRFD_thr2;0.596 ± 0.000;0.609 ± 0.000;0.876 ± 0.000;11.532 ± 0.000;0.273 ± 0.000;0.633 ± 0.000;0.548 ± 0.000
ecoli-0_vs_1;SYRFD_thr2;0.333 ± 0.000;1.289 ± 0.000;6.201 ± 0.000;3.927 ± 0.000;0.13 ± 0.000;0.708 ± 0.000;2.054 ± 0.000
ecoli1;SYRFD_thr2;0.177 ± 0.000;2.033 ± 0.000;3.058 ± 0.000;3.417 ± 0.000;0.112 ± 0.000;0.76 ± 0.000;1.755 ± 0.000
kddcup-guess_passwd_vs_satan;SYRFD_thr2;0.568 ± 0.000;0.733 ± 0.000;7.848 ± 0.000;6.844 ± 0.000;0.197 ± 0.000;0.663 ± 0.000;0.0 ± 0.000
Migraine_onevsrest_0;SYRFD_thr2;0.142 ± 0.000;3.961 ± 0.000;33.692 ± 0.000;1.433 ± 0.000;0.076 ± 0.000;0.853 ± 0.000;5.325116328314172e+18 ± 0.000
Migraine_onevsrest_1;SYRFD_thr2;0.129 ± 0.000;2.24 ± 0.000;6.237 ± 0.000;2.626 ± 0.000;0.063 ± 0.000;0.878 ± 0.000;6.521908912666387e+18 ± 0.000
Migraine_onevsrest_2;SYRFD_thr2;0.146 ± 0.000;2.829 ± 0.000;17.106 ± 0.000;1.458 ± 0.000;0.044 ± 0.000;0.912 ± 0.000;6.521908912666391e+18 ± 0.000
Migraine_onevsrest_3;SYRFD_thr2;0.323 ± 0.000;1.475 ± 0.000;13.799 ± 0.000;4.23 ± 0.000;0.129 ± 0.000;0.763 ± 0.000;6.521908912666391e+18 ± 0.000
Migraine_onevsrest_4;SYRFD_thr2;0.261 ± 0.000;2.164 ± 0.000;22.978 ± 0.000;1.369 ± 0.000;0.079 ± 0.000;0.844 ± 0.000;6.521908912666391e+18 ± 0.000
Migraine_onevsrest_5;SYRFD_thr2;0.101 ± 0.000;3.06 ± 0.000;12.923 ± 0.000;1.62 ± 0.000;0.057 ± 0.000;0.888 ± 0.000;1.301 ± 0.000
new-thyroid1;SYRFD_thr2;0.371 ± 0.000;1.3 ± 0.000;4.229 ± 0.000;13.426 ± 0.000;0.386 ± 0.000;0.422 ± 0.000;7.384645611747811e+18 ± 0.000
newthyroid2;SYRFD_thr2;0.371 ± 0.000;1.319 ± 0.000;4.31 ± 0.000;11.479 ± 0.000;0.331 ± 0.000;0.451 ± 0.000;7.408390697662306e+18 ± 0.000
Obesity_onevsrest_0;SYRFD_thr2;0.12 ± 0.000;3.241 ± 0.000;19.198 ± 0.000;1.636 ± 0.000;0.07 ± 0.000;0.844 ± 0.000;9.203690682575712e+18 ± 0.000
Obesity_onevsrest_1;SYRFD_thr2;0.169 ± 0.000;2.738 ± 0.000;22.836 ± 0.000;1.461 ± 0.000;0.07 ± 0.000;0.84 ± 0.000;1.3015984187185455e+19 ± 0.000
Obesity_onevsrest_2;SYRFD_thr2;0.128 ± 0.000;2.763 ± 0.000;15.511 ± 0.000;1.88 ± 0.000;0.087 ± 0.000;0.817 ± 0.000;1.301711550908147e+19 ± 0.000
Obesity_onevsrest_3;SYRFD_thr2;0.116 ± 0.000;2.885 ± 0.000;15.952 ± 0.000;1.523 ± 0.000;0.081 ± 0.000;0.824 ± 0.000;1.3015955758135327e+19 ± 0.000
Obesity_onevsrest_4;SYRFD_thr2;0.104 ± 0.000;2.979 ± 0.000;14.657 ± 0.000;2.101 ± 0.000;0.066 ± 0.000;0.845 ± 0.000;1.3015984187185455e+19 ± 0.000
Obesity_onevsrest_5;SYRFD_thr2;0.123 ± 0.000;2.467 ± 0.000;9.11 ± 0.000;3.215 ± 0.000;0.109 ± 0.000;0.786 ± 0.000;1.301711550908146e+19 ± 0.000
Obesity_onevsrest_6;SYRFD_thr2;0.209 ± 0.000;2.008 ± 0.000;3.984 ± 0.000;3.129 ± 0.000;0.099 ± 0.000;0.817 ± 0.000;0.126 ± 0.000
page-blocks-1-3_vs_4;SYRFD_thr2;0.335 ± 0.000;1.397 ± 0.000;4.506 ± 0.000;14.127 ± 0.000;0.448 ± 0.000;0.395 ± 0.000;1.9026071491324032e+18 ± 0.000
pima;SYRFD_thr2;0.169 ± 0.000;2.254 ± 0.000;12.0 ± 0.000;11.202 ± 0.000;0.347 ± 0.000;nan ± 0.000;1.506169362512931e+18 ± 0.000
transfusion;SYRFD_thr2;0.222 ± 0.000;2.154 ± 0.000;5.721 ± 0.000;1.8 ± 0.000;0.092 ± 0.000;0.765 ± 0.000;9.223372036854772e+18 ± 0.000
vowel0;SYRFD_thr2;0.213 ± 0.000;2.048 ± 0.000;13.49 ± 0.000;5.894 ± 0.000;0.181 ± 0.000;0.635 ± 0.000;3.08807489999773e+19 ± 0.000
yeast1;SYRFD_thr2;0.047 ± 0.000;3.829 ± 0.000;4.988 ± 0.000;1.469 ± 0.000;0.08 ± 0.000;0.808 ± 0.000;0.909 ± 0.000
yeast3;SYRFD_thr2;0.137 ± 0.000;2.208 ± 0.000;3.331 ± 0.000;3.224 ± 0.000;0.102 ± 0.000;0.775 ± 0.000;0.988 ± 0.000
abalone9-18;SYRFD_thr4;0.11 ± 0.000;2.138 ± 0.000;5.004 ± 0.000;2.588 ± 0.000;0.109 ± 0.000;0.772 ± 0.000;2.792 ± 0.000
cleveland-0_vs_4;SYRFD_thr4;0.341 ± 0.000;1.255 ± 0.000;8.761 ± 0.000;6.7 ± 0.000;0.233 ± 0.000;nan ± 0.000;1.4317450110379845e+18 ± 0.000
dermatology-6;SYRFD_thr4;0.15 ± 0.000;2.109 ± 0.000;13.49 ± 0.000;4.719 ± 0.000;0.144 ± 0.000;0.742 ± 0.000;0.734 ± 0.000
iris0;SYRFD_thr4;0.599 ± 0.000;0.6 ± 0.000;0.841 ± 0.000;11.528 ± 0.000;0.272 ± 0.000;0.633 ± 0.000;0.604 ± 0.000
ecoli-0_vs_1;SYRFD_thr4;0.333 ± 0.000;1.301 ± 0.000;6.224 ± 0.000;4.803 ± 0.000;0.149 ± 0.000;0.683 ± 0.000;1.964 ± 0.000
ecoli1;SYRFD_thr4;0.168 ± 0.000;2.111 ± 0.000;3.478 ± 0.000;3.064 ± 0.000;0.107 ± 0.000;0.761 ± 0.000;1.86 ± 0.000
kddcup-guess_passwd_vs_satan;SYRFD_thr4;0.544 ± 0.000;0.912 ± 0.000;14.626 ± 0.000;5.702 ± 0.000;0.19 ± 0.000;0.671 ± 0.000;0.0 ± 0.000
Migraine_onevsrest_0;SYRFD_thr4;0.128 ± 0.000;3.944 ± 0.000;31.64 ± 0.000;2.004 ± 0.000;0.075 ± 0.000;0.855 ± 0.000;5.325116328314172e+18 ± 0.000
Migraine_onevsrest_1;SYRFD_thr4;0.134 ± 0.000;2.241 ± 0.000;6.403 ± 0.000;2.061 ± 0.000;0.057 ± 0.000;0.889 ± 0.000;6.521908912666387e+18 ± 0.000
Migraine_onevsrest_2;SYRFD_thr4;0.09 ± 0.000;3.123 ± 0.000;12.982 ± 0.000;1.412 ± 0.000;0.045 ± 0.000;0.911 ± 0.000;1.044 ± 0.000
Migraine_onevsrest_3;SYRFD_thr4;0.285 ± 0.000;1.553 ± 0.000;11.502 ± 0.000;3.998 ± 0.000;0.121 ± 0.000;0.777 ± 0.000;6.521908912666391e+18 ± 0.000
Migraine_onevsrest_4;SYRFD_thr4;0.19 ± 0.000;2.346 ± 0.000;18.7 ± 0.000;0.828 ± 0.000;0.064 ± 0.000;0.873 ± 0.000;6.52190891266639e+18 ± 0.000
Migraine_onevsrest_5;SYRFD_thr4;0.067 ± 0.000;3.441 ± 0.000;11.478 ± 0.000;1.605 ± 0.000;0.054 ± 0.000;0.895 ± 0.000;1.0 ± 0.000
new-thyroid1;SYRFD_thr4;0.326 ± 0.000;1.517 ± 0.000;4.983 ± 0.000;10.461 ± 0.000;0.348 ± 0.000;0.444 ± 0.000;5.221732988726358e+18 ± 0.000
newthyroid2;SYRFD_thr4;0.34 ± 0.000;1.489 ± 0.000;5.002 ± 0.000;10.692 ± 0.000;0.323 ± 0.000;0.461 ± 0.000;5.238523299996355e+18 ± 0.000
Obesity_onevsrest_0;SYRFD_thr4;0.092 ± 0.000;3.834 ± 0.000;17.607 ± 0.000;1.579 ± 0.000;0.067 ± 0.000;0.856 ± 0.000;9.203690682575708e+18 ± 0.000
Obesity_onevsrest_1;SYRFD_thr4;0.112 ± 0.000;3.332 ± 0.000;18.357 ± 0.000;1.194 ± 0.000;0.065 ± 0.000;0.858 ± 0.000;9.203690682575708e+18 ± 0.000
Obesity_onevsrest_2;SYRFD_thr4;0.094 ± 0.000;3.105 ± 0.000;12.852 ± 0.000;1.646 ± 0.000;0.083 ± 0.000;0.826 ± 0.000;1.3017115509081465e+19 ± 0.000
Obesity_onevsrest_3;SYRFD_thr4;0.083 ± 0.000;3.424 ± 0.000;14.041 ± 0.000;1.153 ± 0.000;0.071 ± 0.000;0.843 ± 0.000;9.203670580201584e+18 ± 0.000
Obesity_onevsrest_4;SYRFD_thr4;0.072 ± 0.000;3.429 ± 0.000;12.378 ± 0.000;1.416 ± 0.000;0.057 ± 0.000;0.865 ± 0.000;9.203690682575712e+18 ± 0.000
Obesity_onevsrest_5;SYRFD_thr4;0.098 ± 0.000;2.78 ± 0.000;9.901 ± 0.000;3.08 ± 0.000;0.108 ± 0.000;0.791 ± 0.000;9.204490647960086e+18 ± 0.000
Obesity_onevsrest_6;SYRFD_thr4;0.218 ± 0.000;1.972 ± 0.000;3.935 ± 0.000;3.126 ± 0.000;0.099 ± 0.000;0.817 ± 0.000;0.153 ± 0.000
page-blocks-1-3_vs_4;SYRFD_thr4;0.278 ± 0.000;1.677 ± 0.000;4.486 ± 0.000;14.134 ± 0.000;0.45 ± 0.000;0.394 ± 0.000;1.3453464170855327e+18 ± 0.000
pima;SYRFD_thr4;0.073 ± 0.000;3.871 ± 0.000;8.442 ± 0.000;8.684 ± 0.000;0.237 ± 0.000;0.538 ± 0.000;0.178 ± 0.000
transfusion;SYRFD_thr4;0.209 ± 0.000;2.241 ± 0.000;5.816 ± 0.000;2.382 ± 0.000;0.102 ± 0.000;0.748 ± 0.000;9.223372036854769e+18 ± 0.000
vowel0;SYRFD_thr4;0.195 ± 0.000;1.885 ± 0.000;6.939 ± 0.000;4.516 ± 0.000;0.164 ± 0.000;0.661 ± 0.000;3.08807489999773e+19 ± 0.000
yeast1;SYRFD_thr4;0.047 ± 0.000;3.854 ± 0.000;4.999 ± 0.000;1.721 ± 0.000;0.081 ± 0.000;0.805 ± 0.000;0.86 ± 0.000
yeast3;SYRFD_thr4;0.136 ± 0.000;2.221 ± 0.000;3.316 ± 0.000;3.001 ± 0.000;0.106 ± 0.000;0.772 ± 0.000;0.976 ± 0.000
abalone9-18;SYRFD_thr8;0.112 ± 0.000;2.121 ± 0.000;5.069 ± 0.000;2.385 ± 0.000;0.111 ± 0.000;0.768 ± 0.000;2.811 ± 0.000
cleveland-0_vs_4;SYRFD_thr8;0.308 ± 0.000;1.398 ± 0.000;10.12 ± 0.000;4.147 ± 0.000;0.201 ± 0.000;0.62 ± 0.000;1.2399275513005263e+18 ± 0.000
