metodo;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
deepseek;0.2211 +/- 0.1616;2.4986 +/- 1.2458;8.1384 +/- 5.8567;4.751 +/- 3.0252;0.1441 +/- 0.086;0.7237 +/- 0.1211;0.32 +/- 0.1497;0.1933 +/- 0.1158;0.6749 +/- 0.2631;0.1447 +/- 0.0628;0.9404 +/- 0.1058;0.1203 +/- 0.1586;0.9073 +/- 0.2597;0.1307 +/- 0.0983;5.7193 +/- 15.8181;0.6189 +/- 0.2619;0.488 +/- 0.1482;1.1218 +/- 0.8558;0.7033 +/- 0.2039;0.6189 +/- 0.2619;1.0173 +/- 1.0478;1.6611 +/- 1.2737;8.2066 +/- 7.6664;1.6508 +/- 0.5948;1.2849 +/- 0.6517;0.7991 +/- 0.5489;0.0547 +/- 0.0533
devstral-small-2_24b-cloud__confidence;0.1054 +/- 0.1264;3.7428 +/- 2.6113;9.1632 +/- 6.67;0.0475 +/- 0.0244;0.0125 +/- 0.0067;0.9654 +/- 0.0213;0.0901 +/- 0.0364;0.0231 +/- 0.0127;0.1895 +/- 0.0977;0.0163 +/- 0.0112;0.9334 +/- 0.0954;1.0 +/- 0.0;1.1585 +/- 0.4153;1.0 +/- 0.0;0.0 +/- 0.0;0.1607 +/- 0.1018;0.1351 +/- 0.0459;0.2797 +/- 0.1338;0.7019 +/- 0.2077;0.1607 +/- 0.1018;0.4025 +/- 0.6231;0.734 +/- 0.374;7.3459 +/- 7.4155;1.7227 +/- 0.6449;1.7086 +/- 0.6939;0.8991 +/- 0.1328;1.0 +/- 0.0
devstral-small-2_24b-cloud__decision_tree;0.123 +/- 0.1395;3.5194 +/- 1.6826;11.4127 +/- 7.1911;0.0437 +/- 0.031;0.012 +/- 0.009;0.9659 +/- 0.021;0.0769 +/- 0.0362;0.0198 +/- 0.0128;0.3486 +/- 0.9022;0.0172 +/- 0.0135;0.8996 +/- 0.0989;1.0 +/- 0.0;1.0555 +/- 0.2499;1.0 +/- 0.0;0.0385 +/- 0.1961;0.3283 +/- 0.9001;0.1375 +/- 0.0973;1.5346 +/- 6.3686;0.6824 +/- 0.1963;0.3283 +/- 0.9001;3277.4429 +/- 16710.0077;0.6616 +/- 0.3522;7.0357 +/- 7.5791;1.6206 +/- 0.624;1.6823 +/- 0.6822;15935.8704 +/- 81252.5098;1.0 +/- 0.0
devstral-small-2_24b-cloud__distribution_guidance;0.0901 +/- 0.1252;3.783 +/- 1.8658;9.0339 +/- 6.8592;0.0441 +/- 0.029;0.0114 +/- 0.0077;0.9686 +/- 0.0196;0.0809 +/- 0.0386;0.0209 +/- 0.014;0.161 +/- 0.0681;0.0137 +/- 0.0107;0.9473 +/- 0.0633;1.0 +/- 0.0;1.1491 +/- 0.3374;1.0 +/- 0.0;0.0 +/- 0.0;0.1283 +/- 0.0707;0.1215 +/- 0.0532;0.26 +/- 0.14;0.7019 +/- 0.2077;0.1283 +/- 0.0707;0.2885 +/- 0.123;0.6731 +/- 0.2918;7.6292 +/- 7.5849;1.7678 +/- 0.6838;1.7028 +/- 0.6898;0.899 +/- 0.1065;1.0 +/- 0.0
devstral-small-2_24b-cloud__ensemble;0.1028 +/- 0.0813;4.6991 +/- 2.2895;16.204 +/- 9.9858;0.0538 +/- 0.0407;0.0153 +/- 0.0119;0.9576 +/- 0.027;0.067 +/- 0.0293;0.0229 +/- 0.0169;0.1891 +/- 0.1092;0.0101 +/- 0.0093;0.8948 +/- 0.0917;1.0 +/- 0.0;1.1158 +/- 0.3579;1.0 +/- 0.0;0.0 +/- 0.0;0.142 +/- 0.1004;0.0898 +/- 0.0572;0.2998 +/- 0.1993;0.7019 +/- 0.2077;0.142 +/- 0.1004;2.7925 +/- 9.4061;0.6941 +/- 0.4955;7.0757 +/- 8.0133;1.6893 +/- 0.6457;1.7437 +/- 0.6117;1.2936 +/- 0.432;1.0 +/- 0.0
devstral-small-2_24b-cloud__hierarchical;0.1173 +/- 0.1287;3.5573 +/- 2.2883;9.1524 +/- 6.5099;0.0501 +/- 0.0312;0.0133 +/- 0.0085;0.9641 +/- 0.0213;0.0896 +/- 0.0434;0.0232 +/- 0.0145;0.1803 +/- 0.0783;0.0171 +/- 0.0126;0.946 +/- 0.0545;1.0 +/- 0.0;1.1368 +/- 0.3245;1.0 +/- 0.0;0.0 +/- 0.0;0.1505 +/- 0.0829;0.1366 +/- 0.0642;0.2928 +/- 0.1773;0.7019 +/- 0.2077;0.1505 +/- 0.0829;0.3029 +/- 0.1427;0.6552 +/- 0.3095;6.5639 +/- 7.1407;1.7296 +/- 0.6436;1.7242 +/- 0.6989;0.9227 +/- 0.1245;1.0 +/- 0.0
devstral-small-2_24b-cloud__react;0.1357 +/- 0.1291;3.1313 +/- 2.0013;9.0585 +/- 6.5648;0.064 +/- 0.0545;0.0173 +/- 0.0155;0.9594 +/- 0.0306;0.1053 +/- 0.0597;0.0285 +/- 0.0218;0.2232 +/- 0.1008;0.0197 +/- 0.0121;0.9452 +/- 0.0654;1.0 +/- 0.0;1.1855 +/- 0.5612;1.0 +/- 0.0;0.0 +/- 0.0;0.1947 +/- 0.1057;0.1571 +/- 0.0684;0.3372 +/- 0.2251;0.7019 +/- 0.2077;0.1947 +/- 0.1057;0.4031 +/- 0.3579;0.8061 +/- 0.3997;7.1145 +/- 7.0545;1.7211 +/- 0.6475;1.7604 +/- 0.7346;0.9539 +/- 0.1633;1.0 +/- 0.0
devstral-small-2_24b-cloud__schema_constraints;0.1255 +/- 0.1497;3.4427 +/- 2.2675;9.2262 +/- 6.6112;0.0541 +/- 0.0355;0.0144 +/- 0.0101;0.9626 +/- 0.0239;0.0936 +/- 0.042;0.0246 +/- 0.0148;0.2092 +/- 0.136;0.0175 +/- 0.0131;0.9365 +/- 0.0872;1.0 +/- 0.0;1.1943 +/- 0.495;1.0 +/- 0.0;0.0357 +/- 0.189;0.1815 +/- 0.1422;0.1477 +/- 0.0967;0.3503 +/- 0.3849;0.7033 +/- 0.2039;0.1815 +/- 0.1422;0.4682 +/- 0.7596;0.7158 +/- 0.4339;7.0527 +/- 7.1958;1.7138 +/- 0.6345;1.7062 +/- 0.6854;0.916 +/- 0.1372;1.0 +/- 0.0
devstral-small-2_24b-cloud__self_consistency;0.1208 +/- 0.1543;3.7085 +/- 2.9026;9.3141 +/- 6.5529;0.0524 +/- 0.0393;0.0138 +/- 0.011;0.9643 +/- 0.0233;0.0898 +/- 0.0442;0.0242 +/- 0.0174;0.1956 +/- 0.1069;0.0175 +/- 0.0125;0.9409 +/- 0.0795;1.0 +/- 0.0;1.173 +/- 0.4473;1.0 +/- 0.0;0.0357 +/- 0.189;0.1677 +/- 0.1136;0.1464 +/- 0.0958;0.3396 +/- 0.3767;0.7033 +/- 0.2039;0.1677 +/- 0.1136;0.4387 +/- 0.5658;0.8235 +/- 0.5378;7.9894 +/- 7.74;1.7342 +/- 0.6622;1.6922 +/- 0.7019;3353.0654 +/- 17738.0162;1.0 +/- 0.0
gemma3_12b__confidence;0.1459 +/- 0.1467;3.1116 +/- 1.5269;9.6839 +/- 6.4336;0.0797 +/- 0.0637;0.0228 +/- 0.019;0.9497 +/- 0.0381;0.1159 +/- 0.064;0.0333 +/- 0.0242;0.2693 +/- 0.1636;0.0223 +/- 0.0113;0.8921 +/- 0.1111;1.0 +/- 0.0;0.9861 +/- 0.1701;1.0 +/- 0.0;0.0 +/- 0.0;0.2452 +/- 0.1641;0.1647 +/- 0.0782;0.3926 +/- 0.2898;0.7019 +/- 0.2077;0.2452 +/- 0.1641;1.9168 +/- 6.9028;0.7946 +/- 0.4667;6.954 +/- 6.8435;1.6924 +/- 0.6212;1.8646 +/- 0.7285;3646.3744 +/- 18938.934;1.0 +/- 0.0
gemma3_12b__decision_tree;0.142 +/- 0.1423;3.4732 +/- 1.9451;9.872 +/- 6.4155;0.0835 +/- 0.0623;0.0242 +/- 0.0181;0.9447 +/- 0.0367;0.118 +/- 0.0658;0.0354 +/- 0.0253;0.2378 +/- 0.127;0.0203 +/- 0.0105;0.8718 +/- 0.1133;1.0 +/- 0.0;0.9756 +/- 0.1801;1.0 +/- 0.0;0.0 +/- 0.0;0.2022 +/- 0.1259;0.1522 +/- 0.0747;0.3161 +/- 0.1841;0.7281 +/- 0.2056;0.2022 +/- 0.1259;0.5208 +/- 0.5816;0.7747 +/- 0.4669;6.831 +/- 7.0705;1.7072 +/- 0.6272;1.9066 +/- 0.7295;1.6709 +/- 2.0201;1.0 +/- 0.0
gemma3_12b__distribution_guidance;0.1272 +/- 0.1491;3.3443 +/- 1.6135;8.5838 +/- 4.5147;0.0742 +/- 0.0651;0.0212 +/- 0.0194;0.9529 +/- 0.0366;0.1128 +/- 0.0658;0.0311 +/- 0.0255;0.2622 +/- 0.2059;0.0204 +/- 0.0098;0.8832 +/- 0.129;1.0 +/- 0.0;1.0068 +/- 0.2047;1.0 +/- 0.0;0.0 +/- 0.0;0.2363 +/- 0.2053;0.165 +/- 0.0825;0.3899 +/- 0.3548;0.7099 +/- 0.2074;0.2363 +/- 0.2053;4.0441 +/- 17.1175;0.8127 +/- 0.5495;8.0625 +/- 9.2398;1.6953 +/- 0.6242;1.8357 +/- 0.7417;9312.2803 +/- 47475.6475;1.0 +/- 0.0
gemma3_12b__ensemble;0.1407 +/- 0.1332;3.7804 +/- 1.9447;12.5057 +/- 7.0177;0.0759 +/- 0.0596;0.0226 +/- 0.0177;0.9495 +/- 0.0352;0.1025 +/- 0.064;0.0299 +/- 0.0215;0.2414 +/- 0.1498;0.0175 +/- 0.0083;0.8659 +/- 0.0929;1.0 +/- 0.0;0.9719 +/- 0.167;1.0 +/- 0.0;0.0 +/- 0.0;0.2044 +/- 0.1469;0.1422 +/- 0.0728;0.3369 +/- 0.2192;0.7046 +/- 0.2113;0.2044 +/- 0.1469;0.9018 +/- 1.2973;0.7817 +/- 0.5076;7.6302 +/- 8.5846;1.7067 +/- 0.5877;1.9858 +/- 0.6603;7646.7133 +/- 38982.7077;1.0 +/- 0.0
gemma3_12b__hierarchical;0.1444 +/- 0.1389;3.1541 +/- 1.6513;9.3395 +/- 6.3636;0.0828 +/- 0.0622;0.0239 +/- 0.0188;0.9489 +/- 0.0339;0.1207 +/- 0.0678;0.0349 +/- 0.0243;0.281 +/- 0.21;0.0234 +/- 0.0103;0.8942 +/- 0.1053;1.0 +/- 0.0;1.031 +/- 0.261;1.0 +/- 0.0;0.0 +/- 0.0;0.2584 +/- 0.2105;0.1716 +/- 0.0795;0.4048 +/- 0.2744;0.7019 +/- 0.2077;0.2584 +/- 0.2105;0.9959 +/- 1.653;0.8536 +/- 0.627;9.4979 +/- 13.0705;1.6833 +/- 0.5986;1.8723 +/- 0.712;1.5378 +/- 1.6219;1.0 +/- 0.0
gemma3_12b__react;0.1544 +/- 0.1535;3.0828 +/- 1.6724;8.9849 +/- 6.6546;0.0957 +/- 0.0845;0.0276 +/- 0.0251;0.9445 +/- 0.0397;0.1283 +/- 0.0769;0.0407 +/- 0.0344;0.2656 +/- 0.1488;0.0241 +/- 0.0111;0.9076 +/- 0.1101;1.0 +/- 0.0;1.037 +/- 0.2628;1.0 +/- 0.0;0.0 +/- 0.0;0.2375 +/- 0.1471;0.186 +/- 0.0912;0.3962 +/- 0.2831;0.7019 +/- 0.2077;0.2375 +/- 0.1471;0.7072 +/- 1.5109;0.7512 +/- 0.3963;6.7471 +/- 6.9661;1.7364 +/- 0.6455;1.8818 +/- 0.7017;9575.0163 +/- 49745.1843;1.0 +/- 0.0
gemma3_12b__schema_constraints;0.1438 +/- 0.1438;3.0911 +/- 1.4534;9.6987 +/- 6.3769;0.0901 +/- 0.0665;0.0266 +/- 0.0205;0.9442 +/- 0.0385;0.1192 +/- 0.0606;0.0363 +/- 0.0238;0.2635 +/- 0.1424;0.0226 +/- 0.0105;0.8943 +/- 0.1098;1.0 +/- 0.0;1.0159 +/- 0.219;1.0 +/- 0.0;0.0 +/- 0.0;0.2377 +/- 0.1413;0.1687 +/- 0.0744;0.3703 +/- 0.2116;0.7019 +/- 0.2077;0.2377 +/- 0.1413;0.8374 +/- 1.2975;0.9568 +/- 0.7755;9.673 +/- 11.4459;1.6923 +/- 0.6107;1.9525 +/- 0.6963;1.6801 +/- 1.9329;1.0 +/- 0.0
gemma3_12b__self_consistency;0.1415 +/- 0.1557;3.3131 +/- 1.7612;9.2752 +/- 6.6221;0.0848 +/- 0.0802;0.0244 +/- 0.0235;0.9494 +/- 0.04;0.1178 +/- 0.0747;0.0362 +/- 0.0334;0.2363 +/- 0.1257;0.0218 +/- 0.0103;0.9124 +/- 0.1056;1.0 +/- 0.0;1.023 +/- 0.1782;1.0 +/- 0.0;0.0 +/- 0.0;0.2079 +/- 0.1228;0.1651 +/- 0.0863;0.3289 +/- 0.1641;0.7019 +/- 0.2077;0.2079 +/- 0.1228;0.4942 +/- 0.5753;0.9089 +/- 0.7759;12.0482 +/- 22.3902;1.7198 +/- 0.6275;1.8679 +/- 0.715;1.5443 +/- 1.8337;1.0 +/- 0.0
gemma4_31b_cloud__confidence;0.1566 +/- 0.164;2.9343 +/- 1.4544;9.0033 +/- 7.2612;0.0838 +/- 0.0854;0.0231 +/- 0.0251;0.9539 +/- 0.0391;0.1221 +/- 0.0777;0.0369 +/- 0.0351;0.2551 +/- 0.1435;0.0228 +/- 0.0107;0.9615 +/- 0.0636;1.0 +/- 0.0;1.1229 +/- 0.2498;1.0 +/- 0.0;0.0357 +/- 0.189;0.2256 +/- 0.1472;0.1848 +/- 0.0876;0.3935 +/- 0.2271;0.7033 +/- 0.2039;0.2256 +/- 0.1472;0.4434 +/- 0.5429;0.7407 +/- 0.3514;7.0272 +/- 7.4635;1.751 +/- 0.6551;1.755 +/- 0.6825;1.0232 +/- 0.3044;1.0 +/- 0.0
gemma4_31b_cloud__decision_tree;0.1081 +/- 0.1106;3.7827 +/- 1.9786;10.2433 +/- 7.015;0.0449 +/- 0.0309;0.0123 +/- 0.0091;0.9645 +/- 0.0245;0.0781 +/- 0.032;0.0198 +/- 0.0123;0.1752 +/- 0.0962;0.0164 +/- 0.0111;0.9521 +/- 0.0812;1.0 +/- 0.0;1.0729 +/- 0.1741;1.0 +/- 0.0;0.0357 +/- 0.189;0.151 +/- 0.0998;0.1289 +/- 0.0659;0.3143 +/- 0.258;0.7033 +/- 0.2039;0.151 +/- 0.0998;0.537 +/- 0.8941;0.6017 +/- 0.3416;6.9835 +/- 7.2184;1.6914 +/- 0.6261;1.7227 +/- 0.6711;1.0462 +/- 0.2737;1.0 +/- 0.0
gemma4_31b_cloud__distribution_guidance;0.1297 +/- 0.1314;3.1374 +/- 1.5253;9.1722 +/- 6.7164;0.059 +/- 0.0532;0.0159 +/- 0.0156;0.9618 +/- 0.0289;0.0986 +/- 0.0507;0.0265 +/- 0.0208;0.2135 +/- 0.0955;0.0191 +/- 0.0114;0.9551 +/- 0.0694;1.0 +/- 0.0;1.1059 +/- 0.1606;1.0 +/- 0.0;0.0357 +/- 0.189;0.1838 +/- 0.0992;0.1596 +/- 0.0774;0.3738 +/- 0.2978;0.7033 +/- 0.2039;0.1838 +/- 0.0992;0.4024 +/- 0.4766;0.6447 +/- 0.2681;6.6944 +/- 7.4786;1.7527 +/- 0.6614;1.7496 +/- 0.6918;1.0155 +/- 0.2682;1.0 +/- 0.0
gemma4_31b_cloud__ensemble;0.1255 +/- 0.1279;3.7926 +/- 2.0985;12.2162 +/- 7.4045;0.0487 +/- 0.0375;0.0137 +/- 0.0112;0.9638 +/- 0.0274;0.084 +/- 0.0407;0.0207 +/- 0.0146;0.2019 +/- 0.137;0.0143 +/- 0.0102;0.9299 +/- 0.0652;1.0 +/- 0.0;1.0834 +/- 0.2178;1.0 +/- 0.0;0.0357 +/- 0.189;0.1829 +/- 0.1406;0.1281 +/- 0.0647;0.4477 +/- 0.8308;0.7033 +/- 0.2039;0.1829 +/- 0.1406;369.2155 +/- 1951.8401;0.5117 +/- 0.1965;4.0252 +/- 3.6459;1.7064 +/- 0.6297;1.7798 +/- 0.6925;8.5956 +/- 39.597;1.0 +/- 0.0
gemma4_31b_cloud__hierarchical;0.1785 +/- 0.1778;2.7834 +/- 1.4783;8.3435 +/- 6.563;0.0881 +/- 0.0864;0.0242 +/- 0.0253;0.9512 +/- 0.04;0.1276 +/- 0.0792;0.0388 +/- 0.0354;0.2718 +/- 0.1511;0.0241 +/- 0.012;0.9666 +/- 0.0481;1.0 +/- 0.0;1.1355 +/- 0.2617;1.0 +/- 0.0;0.0357 +/- 0.189;0.2437 +/- 0.1549;0.2031 +/- 0.1118;0.4634 +/- 0.4151;0.7033 +/- 0.2039;0.2437 +/- 0.1549;0.4629 +/- 0.5485;0.7473 +/- 0.354;7.0249 +/- 7.4;1.7494 +/- 0.6555;1.7514 +/- 0.6948;1.027 +/- 0.2951;1.0 +/- 0.0
gemma4_31b_cloud__react;0.1944 +/- 0.1719;2.5219 +/- 1.3183;8.2915 +/- 6.65;0.1044 +/- 0.0944;0.029 +/- 0.0277;0.9449 +/- 0.0423;0.1418 +/- 0.0805;0.0457 +/- 0.039;0.2938 +/- 0.148;0.0269 +/- 0.0111;0.9709 +/- 0.059;1.0 +/- 0.0;1.1439 +/- 0.2792;1.0 +/- 0.0;0.0357 +/- 0.189;0.265 +/- 0.1458;0.2192 +/- 0.1101;0.4907 +/- 0.4012;0.7033 +/- 0.2039;0.265 +/- 0.1458;0.4691 +/- 0.5273;0.787 +/- 0.3433;6.9931 +/- 7.4493;1.7534 +/- 0.6599;1.7401 +/- 0.6551;1.0314 +/- 0.3014;1.0 +/- 0.0
gemma4_31b_cloud__schema_constraints;0.168 +/- 0.1714;2.9166 +/- 1.5559;8.6931 +/- 6.6987;0.0804 +/- 0.0804;0.0222 +/- 0.0236;0.9538 +/- 0.0381;0.1203 +/- 0.0726;0.0352 +/- 0.0324;0.2548 +/- 0.1369;0.0224 +/- 0.0114;0.9669 +/- 0.0514;1.0 +/- 0.0;1.1347 +/- 0.2834;1.0 +/- 0.0;0.0357 +/- 0.189;0.2265 +/- 0.1403;0.1912 +/- 0.1063;0.4372 +/- 0.3925;0.7033 +/- 0.2039;0.2265 +/- 0.1403;0.4328 +/- 0.4804;0.706 +/- 0.3297;6.8866 +/- 7.2974;1.7424 +/- 0.6493;1.7604 +/- 0.6856;1.0282 +/- 0.2668;1.0 +/- 0.0
gemma4_31b_cloud__self_consistency;0.1579 +/- 0.1581;2.9326 +/- 1.5351;8.6082 +/- 6.4082;0.0733 +/- 0.0778;0.0201 +/- 0.0229;0.9566 +/- 0.0347;0.1123 +/- 0.0647;0.0326 +/- 0.0312;0.239 +/- 0.1077;0.0216 +/- 0.0122;0.9681 +/- 0.05;1.0 +/- 0.0;1.1303 +/- 0.2422;1.0 +/- 0.0;0.0357 +/- 0.189;0.2096 +/- 0.1077;0.1862 +/- 0.1001;0.4285 +/- 0.406;0.7033 +/- 0.2039;0.2096 +/- 0.1077;0.4033 +/- 0.4238;0.683 +/- 0.3031;6.8671 +/- 7.4003;1.7452 +/- 0.649;1.7411 +/- 0.6811;1.0073 +/- 0.2439;1.0 +/- 0.0
