dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_0;Compactness_class_1;KL_feature_0;KL_feature_1;KL_feature_2;KL_feature_3;KL_feature_4;KL_feature_5;KL_feature_6;KL_mean;JS_feature_0;JS_feature_1;JS_feature_2;JS_feature_3;JS_feature_4;JS_feature_5;JS_feature_6;JS_mean;Q_multi_attribute_similarity;JS_multi_attribute_mean;n_pairs_evaluated;mDCR;KL_feature_7;KL_feature_8;KL_feature_9;KL_feature_10;KL_feature_11;KL_feature_12;JS_feature_7;JS_feature_8;JS_feature_9;JS_feature_10;JS_feature_11;JS_feature_12;KL_feature_13;KL_feature_14;KL_feature_15;KL_feature_16;KL_feature_17;KL_feature_18;KL_feature_19;KL_feature_20;KL_feature_21;KL_feature_22;KL_feature_23;KL_feature_24;KL_feature_25;KL_feature_26;KL_feature_27;KL_feature_28;KL_feature_29;KL_feature_30;KL_feature_31;KL_feature_32;KL_feature_33;JS_feature_13;JS_feature_14;JS_feature_15;JS_feature_16;JS_feature_17;JS_feature_18;JS_feature_19;JS_feature_20;JS_feature_21;JS_feature_22;JS_feature_23;JS_feature_24;JS_feature_25;JS_feature_26;JS_feature_27;JS_feature_28;JS_feature_29;JS_feature_30;JS_feature_31;JS_feature_32;JS_feature_33;KL_feature_34;KL_feature_35;KL_feature_36;KL_feature_37;KL_feature_38;JS_feature_34;JS_feature_35;JS_feature_36;JS_feature_37;JS_feature_38
Obesity_onevsrest_3;casTGAN;0.03;5.274;15.948;14.588;0.038;1.383;3.474;3.13;0.0;1.473;0.365;1.088;0.009;0.107;0.159;0.123;0.0;0.322;0.101;0.087;0.814;0.186;120;2.539;1.394;0.863;0.432;0.336;0.979;0.809;0.18;0.021;0.007;0.076;0.016;0.029;1.089;0.976;0.671;;;;;;;;;;;;;;;;;;;0.019;0.081;0.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_4;casTGAN;0.019;5.692;16.011;14.585;0.002;1.291;1.533;5.282;0.496;0.147;0.908;1.388;0.001;0.086;0.078;0.173;0.126;0.041;0.198;0.097;0.793;0.207;120;2.927;2.652;1.337;0.432;0.062;0.979;0.949;0.308;0.241;0.007;0.015;0.016;0.059;0.015;0.933;5.187;;;;;;;;;;;;;;;;;;;0.004;0.071;0.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_5;casTGAN;0.015;2.879;16.286;9.798;0.564;10.912;10.288;13.233;0.483;0.035;0.186;3.424;0.109;0.32;0.262;0.397;0.123;0.009;0.047;0.129;0.742;0.258;120;2.258;0.997;3.699;0.432;1.801;0.979;4.046;0.096;0.292;0.007;0.095;0.016;0.099;1.254;0.697;5.185;;;;;;;;;;;;;;;;;;;0.054;0.012;0.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_6;casTGAN;0.021;2.319;15.194;4.273;11.894;4.892;0.485;0.41;2.167;5.077;1.053;2.397;0.218;0.218;0.124;0.111;0.053;0.189;0.163;0.101;0.808;0.192;91;5.132;0.432;1.608;0.979;0.969;1.727;0.733;0.007;0.05;0.016;0.061;0.108;0.021;1.131;;;;;;;;;;;;;;;;;;;;;0.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
page-blocks-1-3_vs_4;casTGAN;0.373;1.739;4.715;11.592;4.366;1.593;2.365;3.371;0.476;12.464;4.626;4.18;0.415;0.11;0.369;0.097;0.101;0.549;0.522;0.309;0.431;0.569;21;1132.852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pima;casTGAN;0.094;3.635;6.442;9.379;1.29;9.401;14.183;2.911;4.918;7.091;5.978;6.709;0.14;0.3;0.446;0.138;0.227;0.266;0.133;0.24;0.441;0.559;28;2.851;7.9;;;;;;0.272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfusion;casTGAN;0.073;3.654;3.484;4.591;5.278;5.358;2.31;0.186;;;;3.283;0.197;0.135;0.212;0.04;;;;0.146;0.542;0.458;6;60.295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel0;casTGAN;0.137;2.551;9.584;10.781;1.163;0.759;0.474;0.448;6.772;1.029;0.292;1.132;0.162;0.155;0.093;0.096;0.365;0.145;0.029;0.111;0.684;0.316;55;8.031;0.213;0.479;0.661;0.164;;;0.056;0.056;0.04;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast1;casTGAN;0.047;3.687;8.426;6.396;1.443;0.337;3.783;0.754;0.192;0.196;1.216;1.2;0.035;0.082;0.228;0.075;0.003;0.004;0.105;0.088;0.734;0.266;28;1.711;1.682;;;;;;0.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast3;casTGAN;0.057;3.173;8.353;5.438;2.659;0.463;5.254;3.159;;0.196;1.856;;0.112;0.035;0.203;0.103;;0.004;0.104;;;;28;2.029;1.802;;;;;;0.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abalone9-18;SMOTE;0.122;2.049;6.533;5.026;0.135;2.789;2.904;5.172;2.57;2.489;3.495;2.793;0.031;0.103;0.122;0.195;0.09;0.099;0.204;0.121;0.74;0.26;21;1.187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleveland-0_vs_4;SMOTE;0.206;1.781;12.561;7.115;9.27;0.787;7.226;2.041;0.602;2.922;1.337;2.8;0.271;0.168;0.234;0.146;0.056;0.048;0.214;0.19;0.643;0.357;78;0.868;6.658;1.157;1.456;0.926;1.327;0.695;0.202;0.295;0.249;0.207;0.223;0.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dermatology-6;SMOTE;0.124;1.58;33.366;11.006;0.794;3.573;3.906;10.218;8.486;3.988;21.713;5.746;0.105;0.063;0.235;0.203;0.16;0.071;0.548;0.152;0.729;0.271;561;0.707;3.841;1.07;4.335;0.041;4.03;2.475;0.069;0.22;0.087;0.009;0.072;0.043;3.853;2.845;4.4;4.964;2.77;9.883;6.387;9.706;6.323;4.015;4.615;4.073;5.506;4.158;2.549;4.144;1.298;22.824;3.711;4.48;14.381;0.113;0.051;0.22;0.127;0.048;0.191;0.121;0.193;0.12;0.072;0.084;0.073;0.1;0.074;0.093;0.074;0.32;0.596;0.101;0.08;0.433;;;;;;;;;;
iris0;SMOTE;0.608;0.581;1.743;0.787;12.159;8.56;13.957;13.547;;;;12.056;0.28;0.204;0.321;0.304;;;;0.277;0.65;0.35;6;0.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli-0_vs_1;SMOTE;0.354;1.204;2.433;5.973;0.829;3.227;0.089;0.0;1.405;7.569;3.256;2.339;0.056;0.081;0.002;0.0;0.118;0.247;0.197;0.1;0.771;0.229;21;0.431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli1;SMOTE;0.211;1.807;8.085;3.101;0.076;5.021;0.041;0.057;1.89;8.013;1.579;2.383;0.02;0.116;0.012;0.001;0.096;0.274;0.208;0.104;0.782;0.218;21;0.432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kddcup-guess_passwd_vs_satan;SMOTE;0.549;0.854;21.472;13.334;0.097;2.251;20.781;21.011;0.006;0.035;0.0;5.714;0.022;0.038;0.62;0.592;0.0;0.012;0.0;0.193;0.668;0.332;741;0.0;0.0;0.0;23.682;3.034;0.081;0.0;0.0;0.0;0.621;0.543;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;19.591;0.295;2.951;0.3;2.579;0.56;23.372;22.752;0.011;24.173;22.992;0.157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.607;0.007;0.346;0.059;0.441;0.097;0.586;0.553;0.0;0.622;0.577;0.038;0.011;6.732;0.379;3.125;21.871;0.0;0.245;0.085;0.187;0.633
Migraine_onevsrest_0;SMOTE;0.119;4.313;7.133;32.326;0.591;0.038;0.151;0.073;0.073;0.102;0.011;0.149;0.029;0.009;0.029;0.021;0.021;0.028;0.003;0.012;0.969;0.031;210;0.816;0.017;0.0;0.0;0.713;0.053;0.0;0.004;0.0;0.0;0.068;0.012;0.0;0.001;0.026;0.321;0.101;0.321;0.378;0.155;0.011;;;;;;;;;;;;;;0.0;0.005;0.006;0.002;0.006;0.006;0.003;0.003;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_1;SMOTE;0.038;2.323;22.745;5.031;0.208;0.038;0.643;1.136;1.136;9.401;0.049;1.978;0.038;0.01;0.146;0.019;0.019;0.176;0.001;0.051;0.901;0.099;210;1.0;0.028;0.0;0.0;18.041;4.815;0.84;0.007;0.0;0.0;0.419;0.084;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;0.259;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.054;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_2;SMOTE;0.058;3.217;19.024;14.614;8.947;3.761;4.235;1.136;1.136;1.31;0.049;1.999;0.251;0.067;0.104;0.019;0.019;0.079;0.001;0.052;0.896;0.104;210;1.0;0.179;0.0;0.0;2.946;1.639;0.001;0.037;0.0;0.0;0.161;0.031;0.0;0.006;1.196;0.321;0.101;0.321;0.378;0.155;14.161;;;;;;;;;;;;;;0.002;0.02;0.006;0.002;0.006;0.006;0.003;0.276;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_3;SMOTE;0.315;1.319;16.049;14.486;4.245;3.766;0.556;23.777;23.777;22.112;0.049;4.087;0.114;0.068;0.02;0.588;0.588;0.588;0.001;0.111;0.79;0.21;210;1.414;0.018;0.0;0.0;5.165;0.222;0.84;0.004;0.0;0.0;0.262;0.058;0.014;0.007;0.003;0.321;0.101;0.321;0.378;0.155;0.006;;;;;;;;;;;;;;0.002;0.001;0.006;0.002;0.006;0.006;0.003;0.001;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_4;SMOTE;0.206;3.193;14.937;31.975;4.209;0.078;4.147;1.136;1.136;9.401;0.049;1.651;0.107;0.02;0.079;0.019;0.019;0.176;0.001;0.043;0.913;0.087;210;1.414;7.216;0.0;0.0;0.522;4.815;0.84;0.125;0.0;0.0;0.022;0.084;0.014;0.44;0.042;0.028;0.101;0.16;0.004;0.155;0.185;;;;;;;;;;;;;;0.119;0.012;0.008;0.002;0.05;0.001;0.003;0.041;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_5;SMOTE;0.013;3.424;19.294;12.237;11.718;3.914;6.953;1.136;1.136;1.17;0.049;2.018;0.303;0.102;0.14;0.019;0.019;0.045;0.001;0.05;0.9;0.1;210;1.0;0.191;0.0;0.0;2.767;1.625;0.102;0.04;0.0;0.0;0.117;0.028;0.03;0.004;1.196;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.001;0.02;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
new-thyroid1;SMOTE;0.353;1.112;3.983;2.72;1.574;12.864;10.034;5.226;11.675;;;8.274;0.164;0.389;0.307;0.138;0.36;;;0.272;0.544;0.456;10;0.686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newthyroid2;SMOTE;0.356;1.113;3.96;2.663;4.04;15.523;6.193;4.974;11.639;;;8.474;0.202;0.427;0.3;0.132;0.366;;;0.285;0.53;0.47;10;0.849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_0;SMOTE;0.1;3.105;15.769;13.187;0.085;2.417;0.969;12.848;0.357;0.027;0.082;1.25;0.021;0.169;0.075;0.406;0.093;0.007;0.02;0.062;0.866;0.134;120;0.243;0.061;0.671;0.432;0.215;0.009;0.83;0.013;0.057;0.007;0.04;0.002;0.036;0.085;0.73;0.181;;;;;;;;;;;;;;;;;;;0.021;0.02;0.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_1;SMOTE;0.075;3.682;15.042;14.99;0.019;1.314;0.192;7.395;0.536;0.183;0.061;0.65;0.005;0.072;0.021;0.252;0.136;0.05;0.014;0.043;0.907;0.093;120;1.514;0.015;0.062;0.024;0.049;0.034;0.037;0.004;0.017;0.004;0.011;0.006;0.009;0.031;0.15;0.296;;;;;;;;;;;;;;;;;;;0.007;0.035;0.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_2;SMOTE;0.029;5.807;16.941;13.79;0.017;0.291;0.616;9.038;0.05;0.001;0.453;0.761;0.004;0.044;0.034;0.246;0.013;0.0;0.076;0.035;0.915;0.085;120;0.608;0.114;0.709;0.432;0.077;0.012;0.089;0.027;0.045;0.007;0.016;0.003;0.019;0.085;0.027;0.165;;;;;;;;;;;;;;;;;;;0.016;0.005;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_3;SMOTE;0.028;5.468;18.071;12.192;0.037;0.433;0.447;8.593;0.034;0.083;0.293;0.854;0.009;0.058;0.083;0.242;0.008;0.023;0.055;0.042;0.905;0.095;120;0.661;0.85;0.99;0.432;0.059;0.979;0.086;0.055;0.04;0.007;0.013;0.016;0.013;0.066;0.096;0.185;;;;;;;;;;;;;;;;;;;0.011;0.022;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_4;SMOTE;0.029;5.336;18.689;11.394;0.0;0.48;0.199;6.676;0.18;0.038;0.664;0.743;0.0;0.079;0.031;0.204;0.032;0.008;0.093;0.039;0.91;0.09;120;0.352;0.831;1.054;0.432;0.005;0.979;0.043;0.05;0.046;0.007;0.001;0.016;0.009;0.011;0.119;0.182;;;;;;;;;;;;;;;;;;;0.002;0.028;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_5;SMOTE;0.097;2.767;19.142;8.319;1.452;5.312;3.124;11.253;0.417;0.108;0.244;1.926;0.185;0.205;0.12;0.321;0.052;0.019;0.05;0.075;0.848;0.152;120;0.199;0.731;1.079;0.0;0.262;0.979;3.917;0.026;0.048;0.0;0.029;0.016;0.067;1.173;0.701;0.068;;;;;;;;;;;;;;;;;;;0.038;0.013;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_6;SMOTE;0.173;1.97;18.863;1.673;11.894;5.344;3.966;0.336;16.28;7.733;3.23;4.579;0.218;0.169;0.065;0.037;0.335;0.14;0.057;0.103;0.811;0.189;91;0.016;0.432;1.517;0.979;3.918;1.428;1.91;0.007;0.027;0.016;0.067;0.08;0.128;5.138;;;;;;;;;;;;;;;;;;;;;0.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
page-blocks-1-3_vs_4;SMOTE;0.191;1.832;5.017;6.586;17.277;0.327;11.048;8.569;7.006;12.406;3.021;8.522;0.52;0.071;0.417;0.227;0.206;0.448;0.448;0.334;0.456;0.544;21;51.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pima;SMOTE;0.069;3.723;6.737;8.446;0.182;1.004;0.466;0.15;0.705;1.255;0.492;0.595;0.027;0.085;0.031;0.024;0.061;0.071;0.037;0.047;0.8;0.2;28;0.41;0.507;;;;;;0.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfusion;SMOTE;0.083;2.786;3.333;4.248;1.747;0.611;0.56;0.156;;;;0.768;0.096;0.112;0.112;0.035;;;;0.089;0.759;0.241;6;2.449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel0;SMOTE;0.134;2.649;9.298;10.208;0.001;0.066;0.013;0.443;7.544;7.901;5.248;2.463;0.0;0.014;0.003;0.104;0.326;0.242;0.167;0.113;0.687;0.313;55;0.504;0.86;0.603;0.989;3.42;;;0.121;0.097;0.067;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast1;SMOTE;0.038;3.966;9.571;5.348;1.308;0.795;2.826;0.484;0.201;0.196;1.047;1.013;0.042;0.036;0.077;0.024;0.006;0.004;0.075;0.05;0.844;0.156;28;0.368;1.25;;;;;;0.132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast3;SMOTE;0.117;2.414;10.17;3.311;2.589;0.604;13.453;2.284;0.196;0.196;1.904;2.82;0.073;0.02;0.377;0.067;0.005;0.004;0.087;0.089;0.79;0.21;28;0.393;1.332;;;;;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abalone9-18;SMOTECDNN;0.123;2.049;6.482;5.092;0.102;2.817;2.979;5.158;2.554;1.256;3.439;2.615;0.023;0.111;0.137;0.192;0.088;0.105;0.212;0.124;0.733;0.267;21;1.073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleveland-0_vs_4;SMOTECDNN;0.203;1.795;12.447;7.268;9.23;0.358;7.461;2.063;0.896;2.922;1.318;2.78;0.267;0.101;0.273;0.147;0.068;0.048;0.216;0.183;0.649;0.351;78;0.667;6.741;0.909;1.326;0.843;1.405;0.671;0.222;0.249;0.203;0.193;0.238;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
