dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
Migraine_onevsrest_3;casTGAN;—;;0.487 +/- 0.000;1.493 +/- 0.000;50.876 +/- 0.000;2.24 +/- 0.000;0.093 +/- 0.000;0.808 +/- 0.000;0.228 +/- 0.000;0.246 +/- 0.000;1.166 +/- 0.000;0.018 +/- 0.000;0.778 +/- 0.000;1.0 +/- 0.000;0.178 +/- 0.000;0.008 +/- 0.000;2.121 +/- 0.000;1.131 +/- 0.000;0.707 +/- 0.000;2.439 +/- 0.000;0.492 +/- 0.000;1.131 +/- 0.000;4.806 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.495 +/- 0.000;0.515 +/- 0.000;24450355.626 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_4;casTGAN;—;;0.279 +/- 0.000;2.429 +/- 0.000;36.474 +/- 0.000;1.083 +/- 0.000;0.076 +/- 0.000;0.851 +/- 0.000;0.25 +/- 0.000;0.176 +/- 0.000;1.25 +/- 0.000;0.155 +/- 0.000;0.891 +/- 0.000;0.854 +/- 0.000;0.208 +/- 0.000;0.04 +/- 0.000;1.871 +/- 0.000;1.214 +/- 0.000;0.951 +/- 0.000;2.581 +/- 0.000;0.492 +/- 0.000;1.214 +/- 0.000;3.409 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.497 +/- 0.000;0.506 +/- 0.000;27135597.152 +/- 0.000;0.006 +/- 0.000
Migraine_onevsrest_5;casTGAN;—;;0.092 +/- 0.000;2.98 +/- 0.000;16.644 +/- 0.000;2.072 +/- 0.000;0.069 +/- 0.000;nan +/- 0.000;0.244 +/- 0.000;0.168 +/- 0.000;0.932 +/- 0.000;0.098 +/- 0.000;0.429 +/- 0.000;0.037 +/- 0.000;0.09 +/- 0.000;0.008 +/- 0.000;1.581 +/- 0.000;0.917 +/- 0.000;0.65 +/- 0.000;1.813 +/- 0.000;0.492 +/- 0.000;0.917 +/- 0.000;5.073 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.497 +/- 0.000;0.479 +/- 0.000;19270653.525 +/- 0.000;0.0 +/- 0.000
new-thyroid1;casTGAN;—;;0.34 +/- 0.000;1.461 +/- 0.000;5.305 +/- 0.000;3.976 +/- 0.000;0.172 +/- 0.000;0.527 +/- 0.000;0.378 +/- 0.000;0.245 +/- 0.000;0.709 +/- 0.000;0.046 +/- 0.000;0.613 +/- 0.000;0.897 +/- 0.000;0.271 +/- 0.000;0.126 +/- 0.000;3.728 +/- 0.000;0.685 +/- 0.000;0.558 +/- 0.000;0.869 +/- 0.000;1.0 +/- 0.000;0.685 +/- 0.000;0.798 +/- 0.000;2.121 +/- 0.000;11.384 +/- 0.000;2.352 +/- 0.000;1.983 +/- 0.000;0.84 +/- 0.000;0.13 +/- 0.000
newthyroid2;casTGAN;—;;0.322 +/- 0.000;1.401 +/- 0.000;4.162 +/- 0.000;6.568 +/- 0.000;0.248 +/- 0.000;0.483 +/- 0.000;0.55 +/- 0.000;0.307 +/- 0.000;0.977 +/- 0.000;0.129 +/- 0.000;0.656 +/- 0.000;0.238 +/- 0.000;0.338 +/- 0.000;0.103 +/- 0.000;3.575 +/- 0.000;0.92 +/- 0.000;0.772 +/- 0.000;1.162 +/- 0.000;1.0 +/- 0.000;0.92 +/- 0.000;0.599 +/- 0.000;2.725 +/- 0.000;12.87 +/- 0.000;2.328 +/- 0.000;1.88 +/- 0.000;0.803 +/- 0.000;0.148 +/- 0.000
Obesity_onevsrest_0;casTGAN;—;;0.113 +/- 0.000;3.154 +/- 0.000;15.925 +/- 0.000;12.478 +/- 0.000;0.298 +/- 0.000;0.518 +/- 0.000;0.506 +/- 0.000;0.313 +/- 0.000;1.049 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;3.131 +/- 0.000;0.953 +/- 0.000;0.72 +/- 0.000;1.305 +/- 0.000;0.161 +/- 0.000;0.953 +/- 0.000;0.924 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.173 +/- 0.000;0.103 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_1;casTGAN;—;;0.134 +/- 0.000;4.039 +/- 0.000;21.3 +/- 0.000;0.782 +/- 0.000;0.063 +/- 0.000;0.854 +/- 0.000;0.236 +/- 0.000;0.074 +/- 0.000;0.51 +/- 0.000;0.012 +/- 0.000;0.736 +/- 0.000;0.828 +/- 0.000;0.446 +/- 0.000;0.058 +/- 0.000;2.725 +/- 0.000;0.464 +/- 0.000;0.291 +/- 0.000;0.578 +/- 0.000;0.543 +/- 0.000;0.464 +/- 0.000;0.469 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;1.033 +/- 0.000;1.012 +/- 0.000;0.001 +/- 0.000
Obesity_onevsrest_2;casTGAN;—;;0.056 +/- 0.000;6.212 +/- 0.000;17.598 +/- 0.000;1.084 +/- 0.000;0.081 +/- 0.000;0.827 +/- 0.000;0.236 +/- 0.000;0.088 +/- 0.000;0.597 +/- 0.000;0.033 +/- 0.000;0.41 +/- 0.000;0.511 +/- 0.000;0.208 +/- 0.000;0.03 +/- 0.000;2.738 +/- 0.000;0.574 +/- 0.000;0.443 +/- 0.000;0.728 +/- 0.000;0.543 +/- 0.000;0.574 +/- 0.000;0.472 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.972 +/- 0.000;0.851 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_3;casTGAN;—;;0.03 +/- 0.000;5.274 +/- 0.000;14.588 +/- 0.000;1.088 +/- 0.000;0.087 +/- 0.000;0.814 +/- 0.000;0.244 +/- 0.000;0.096 +/- 0.000;0.575 +/- 0.000;0.021 +/- 0.000;0.581 +/- 0.000;0.654 +/- 0.000;0.309 +/- 0.000;0.033 +/- 0.000;2.539 +/- 0.000;0.495 +/- 0.000;0.405 +/- 0.000;0.71 +/- 0.000;0.543 +/- 0.000;0.495 +/- 0.000;0.495 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.06 +/- 0.000;0.935 +/- 0.000;0.818 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_4;casTGAN;—;;0.019 +/- 0.000;5.692 +/- 0.000;14.585 +/- 0.000;1.388 +/- 0.000;0.097 +/- 0.000;0.793 +/- 0.000;0.282 +/- 0.000;0.118 +/- 0.000;0.68 +/- 0.000;0.029 +/- 0.000;0.28 +/- 0.000;0.611 +/- 0.000;0.09 +/- 0.000;0.007 +/- 0.000;2.927 +/- 0.000;0.659 +/- 0.000;0.435 +/- 0.000;0.956 +/- 0.000;0.543 +/- 0.000;0.659 +/- 0.000;0.498 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.997 +/- 0.000;0.926 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_5;casTGAN;—;;0.016 +/- 0.000;2.879 +/- 0.000;9.798 +/- 0.000;3.424 +/- 0.000;0.129 +/- 0.000;0.742 +/- 0.000;0.335 +/- 0.000;0.157 +/- 0.000;0.734 +/- 0.000;0.008 +/- 0.000;0.217 +/- 0.000;0.49 +/- 0.000;0.078 +/- 0.000;0.003 +/- 0.000;2.258 +/- 0.000;0.722 +/- 0.000;0.471 +/- 0.000;0.759 +/- 0.000;0.543 +/- 0.000;0.722 +/- 0.000;0.554 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.812 +/- 0.000;0.764 +/- 0.000;0.001 +/- 0.000
Obesity_onevsrest_6;casTGAN;—;;0.021 +/- 0.000;2.319 +/- 0.000;4.273 +/- 0.000;2.397 +/- 0.000;0.101 +/- 0.000;0.808 +/- 0.000;0.284 +/- 0.000;0.102 +/- 0.000;0.705 +/- 0.000;0.019 +/- 0.000;0.613 +/- 0.000;0.35 +/- 0.000;0.488 +/- 0.000;0.041 +/- 0.000;5.132 +/- 0.000;0.606 +/- 0.000;0.422 +/- 0.000;0.723 +/- 0.000;0.533 +/- 0.000;0.606 +/- 0.000;0.768 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;0.498 +/- 0.000;0.638 +/- 0.000;0.005 +/- 0.000
page-blocks-1-3_vs_4;casTGAN;—;;0.374 +/- 0.000;1.739 +/- 0.000;11.592 +/- 0.000;4.18 +/- 0.000;0.309 +/- 0.000;0.431 +/- 0.000;0.512 +/- 0.000;0.297 +/- 0.000;1.223 +/- 0.000;0.035 +/- 0.000;0.508 +/- 0.000;0.994 +/- 0.000;0.186 +/- 0.000;0.036 +/- 0.000;1132.852 +/- 0.000;1.163 +/- 0.000;0.598 +/- 0.000;1.581 +/- 0.000;0.968 +/- 0.000;1.163 +/- 0.000;2.508 +/- 0.000;2.705 +/- 0.000;19.21 +/- 0.000;2.027 +/- 0.000;2.768 +/- 0.000;1.497 +/- 0.000;0.072 +/- 0.000
pima;casTGAN;—;;0.094 +/- 0.000;3.635 +/- 0.000;9.379 +/- 0.000;6.709 +/- 0.000;0.24 +/- 0.000;0.441 +/- 0.000;0.494 +/- 0.000;0.184 +/- 0.000;1.053 +/- 0.000;0.012 +/- 0.000;0.261 +/- 0.000;0.966 +/- 0.000;0.087 +/- 0.000;0.008 +/- 0.000;2.851 +/- 0.000;1.022 +/- 0.000;0.529 +/- 0.000;1.284 +/- 0.000;0.812 +/- 0.000;1.022 +/- 0.000;0.793 +/- 0.000;0.927 +/- 0.000;2.789 +/- 0.000;2.32 +/- 0.000;2.057 +/- 0.000;0.901 +/- 0.000;0.0 +/- 0.000
transfusion;casTGAN;—;;0.073 +/- 0.000;3.654 +/- 0.000;4.591 +/- 0.000;3.283 +/- 0.000;0.146 +/- 0.000;0.542 +/- 0.000;0.401 +/- 0.000;0.2 +/- 0.000;0.579 +/- 0.000;0.046 +/- 0.000;0.224 +/- 0.000;0.752 +/- 0.000;0.084 +/- 0.000;0.021 +/- 0.000;60.294 +/- 0.000;0.546 +/- 0.000;0.38 +/- 0.000;0.654 +/- 0.000;1.0 +/- 0.000;0.546 +/- 0.000;0.613 +/- 0.000;0.934 +/- 0.000;8.54 +/- 0.000;2.35 +/- 0.000;1.804 +/- 0.000;0.768 +/- 0.000;0.267 +/- 0.000
vowel0;casTGAN;—;;0.137 +/- 0.000;2.551 +/- 0.000;10.781 +/- 0.000;1.132 +/- 0.000;0.111 +/- 0.000;0.684 +/- 0.000;0.327 +/- 0.000;0.159 +/- 0.000;0.726 +/- 0.000;0.102 +/- 0.000;0.019 +/- 0.000;0.468 +/- 0.000;0.005 +/- 0.000;0.005 +/- 0.000;8.031 +/- 0.000;0.666 +/- 0.000;0.443 +/- 0.000;0.968 +/- 0.000;0.816 +/- 0.000;0.666 +/- 0.000;0.54 +/- 0.000;1.417 +/- 0.000;6.31 +/- 0.000;2.27 +/- 0.000;2.069 +/- 0.000;0.829 +/- 0.000;0.0 +/- 0.000
yeast1;casTGAN;—;;0.047 +/- 0.000;3.687 +/- 0.000;6.396 +/- 0.000;1.2 +/- 0.000;0.088 +/- 0.000;0.734 +/- 0.000;0.376 +/- 0.000;0.122 +/- 0.000;0.404 +/- 0.000;0.034 +/- 0.000;0.741 +/- 0.000;0.866 +/- 0.000;0.502 +/- 0.000;0.206 +/- 0.000;1.711 +/- 0.000;0.353 +/- 0.000;0.294 +/- 0.000;0.383 +/- 0.000;0.754 +/- 0.000;0.353 +/- 0.000;0.617 +/- 0.000;2.729 +/- 0.000;27.765 +/- 0.000;2.092 +/- 0.000;2.161 +/- 0.000;0.789 +/- 0.000;0.167 +/- 0.000
yeast3;casTGAN;—;;0.057 +/- 0.000;3.173 +/- 0.000;5.438 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.477 +/- 0.000;0.091 +/- 0.000;0.376 +/- 0.000;0.033 +/- 0.000;0.916 +/- 0.000;0.766 +/- 0.000;0.718 +/- 0.000;0.292 +/- 0.000;2.029 +/- 0.000;0.342 +/- 0.000;0.259 +/- 0.000;0.34 +/- 0.000;0.754 +/- 0.000;0.342 +/- 0.000;0.564 +/- 0.000;3.066 +/- 0.000;27.562 +/- 0.000;2.111 +/- 0.000;2.051 +/- 0.000;0.74 +/- 0.000;0.209 +/- 0.000
abalone9-18;ddpm;—;;0.073 +/- 0.000;6.973 +/- 0.000;9.033 +/- 0.000;2.479 +/- 0.000;0.229 +/- 0.000;0.631 +/- 0.000;0.354 +/- 0.000;0.384 +/- 0.000;0.62 +/- 0.000;0.054 +/- 0.000;0.851 +/- 0.000;0.462 +/- 0.000;0.542 +/- 0.000;0.27 +/- 0.000;1.457 +/- 0.000;0.262 +/- 0.000;0.246 +/- 0.000;0.646 +/- 0.000;0.983 +/- 0.000;0.262 +/- 0.000;1.069 +/- 0.000;0.543 +/- 0.000;1.699 +/- 0.000;2.376 +/- 0.000;1.651 +/- 0.000;0.686 +/- 0.000;0.263 +/- 0.000
cleveland-0_vs_4;ddpm;—;;0.188 +/- 0.000;2.251 +/- 0.000;12.708 +/- 0.000;10.124 +/- 0.000;0.284 +/- 0.000;0.529 +/- 0.000;0.457 +/- 0.000;0.401 +/- 0.000;0.929 +/- 0.000;0.194 +/- 0.000;1.0 +/- 0.000;0.028 +/- 0.000;0.503 +/- 0.000;0.091 +/- 0.000;1.896 +/- 0.000;0.817 +/- 0.000;0.452 +/- 0.000;1.106 +/- 0.000;0.591 +/- 0.000;0.817 +/- 0.000;0.892 +/- 0.000;1.263 +/- 0.000;2.79 +/- 0.000;1.242 +/- 0.000;0.595 +/- 0.000;0.64 +/- 0.000;0.0 +/- 0.000
dermatology-6;ddpm;—;;0.152 +/- 0.000;2.382 +/- 0.000;18.513 +/- 0.000;7.146 +/- 0.000;0.182 +/- 0.000;0.678 +/- 0.000;0.332 +/- 0.000;0.266 +/- 0.000;0.848 +/- 0.000;0.219 +/- 0.000;0.833 +/- 0.000;0.042 +/- 0.000;0.247 +/- 0.000;0.036 +/- 0.000;0.961 +/- 0.000;0.742 +/- 0.000;0.549 +/- 0.000;2.415 +/- 0.000;0.631 +/- 0.000;0.742 +/- 0.000;1.123 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.872 +/- 0.000;0.436 +/- 0.000;0.595 +/- 0.000;0.0 +/- 0.000
iris0;ddpm;—;;0.552 +/- 0.000;0.691 +/- 0.000;1.25 +/- 0.000;10.982 +/- 0.000;0.267 +/- 0.000;0.599 +/- 0.000;0.537 +/- 0.000;0.244 +/- 0.000;0.924 +/- 0.000;0.061 +/- 0.000;0.726 +/- 0.000;0.309 +/- 0.000;0.828 +/- 0.000;0.322 +/- 0.000;1.014 +/- 0.000;0.905 +/- 0.000;0.558 +/- 0.000;0.656 +/- 0.000;1.0 +/- 0.000;0.905 +/- 0.000;0.674 +/- 0.000;0.281 +/- 0.000;0.628 +/- 0.000;1.754 +/- 0.000;0.664 +/- 0.000;0.32 +/- 0.000;0.152 +/- 0.000
ecoli-0_vs_1;ddpm;—;;0.32 +/- 0.000;1.329 +/- 0.000;7.192 +/- 0.000;3.019 +/- 0.000;0.162 +/- 0.000;0.678 +/- 0.000;0.301 +/- 0.000;0.228 +/- 0.000;0.924 +/- 0.000;0.052 +/- 0.000;0.585 +/- 0.000;0.808 +/- 0.000;0.517 +/- 0.000;0.324 +/- 0.000;2.244 +/- 0.000;0.705 +/- 0.000;0.475 +/- 0.000;0.978 +/- 0.000;0.984 +/- 0.000;0.705 +/- 0.000;2.605 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.512 +/- 0.000;0.132 +/- 0.000
ecoli1;ddpm;—;;0.169 +/- 0.000;2.274 +/- 0.000;5.927 +/- 0.000;3.451 +/- 0.000;0.144 +/- 0.000;0.721 +/- 0.000;0.242 +/- 0.000;0.213 +/- 0.000;0.633 +/- 0.000;0.064 +/- 0.000;0.818 +/- 0.000;0.579 +/- 0.000;0.646 +/- 0.000;0.358 +/- 0.000;1.9 +/- 0.000;0.427 +/- 0.000;0.356 +/- 0.000;0.656 +/- 0.000;0.914 +/- 0.000;0.427 +/- 0.000;1.044 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.587 +/- 0.000;1.279 +/- 0.000;0.769 +/- 0.000;0.182 +/- 0.000
kddcup-guess_passwd_vs_satan;ddpm;—;;0.536 +/- 0.000;0.962 +/- 0.000;19.286 +/- 0.000;7.866 +/- 0.000;0.219 +/- 0.000;0.633 +/- 0.000;0.415 +/- 0.000;0.317 +/- 0.000;1.706 +/- 0.000;0.217 +/- 0.000;0.934 +/- 0.000;0.01 +/- 0.000;0.436 +/- 0.000;0.006 +/- 0.000;0.0 +/- 0.000;1.661 +/- 0.000;0.767 +/- 0.000;7.107 +/- 0.000;0.742 +/- 0.000;1.661 +/- 0.000;6.419 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.951 +/- 0.000;0.011 +/- 0.000
Migraine_onevsrest_0;ddpm;—;;0.117 +/- 0.000;4.09 +/- 0.000;31.178 +/- 0.000;2.887 +/- 0.000;0.086 +/- 0.000;0.836 +/- 0.000;0.159 +/- 0.000;0.116 +/- 0.000;0.581 +/- 0.000;0.091 +/- 0.000;0.886 +/- 0.000;0.966 +/- 0.000;0.461 +/- 0.000;0.135 +/- 0.000;2.16 +/- 0.000;0.487 +/- 0.000;0.465 +/- 0.000;1.519 +/- 0.000;0.492 +/- 0.000;0.487 +/- 0.000;2.619 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.88 +/- 0.000;0.01 +/- 0.000
Migraine_onevsrest_1;ddpm;—;;0.141 +/- 0.000;2.306 +/- 0.000;5.716 +/- 0.000;2.99 +/- 0.000;0.087 +/- 0.000;0.836 +/- 0.000;0.178 +/- 0.000;0.12 +/- 0.000;0.438 +/- 0.000;0.154 +/- 0.000;0.709 +/- 0.000;0.188 +/- 0.000;0.431 +/- 0.000;0.111 +/- 0.000;1.732 +/- 0.000;0.418 +/- 0.000;0.407 +/- 0.000;1.171 +/- 0.000;0.492 +/- 0.000;0.418 +/- 0.000;1.028 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.163 +/- 0.000;0.029 +/- 0.000
Migraine_onevsrest_2;ddpm;—;;0.128 +/- 0.000;2.816 +/- 0.000;12.492 +/- 0.000;3.048 +/- 0.000;0.08 +/- 0.000;0.847 +/- 0.000;0.18 +/- 0.000;0.118 +/- 0.000;0.478 +/- 0.000;0.187 +/- 0.000;0.911 +/- 0.000;0.156 +/- 0.000;0.625 +/- 0.000;0.154 +/- 0.000;1.581 +/- 0.000;0.444 +/- 0.000;0.376 +/- 0.000;1.068 +/- 0.000;0.492 +/- 0.000;0.444 +/- 0.000;1.138 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.756 +/- 0.000;0.016 +/- 0.000
Migraine_onevsrest_3;ddpm;—;;0.262 +/- 0.000;1.72 +/- 0.000;12.648 +/- 0.000;5.762 +/- 0.000;0.155 +/- 0.000;0.723 +/- 0.000;0.272 +/- 0.000;0.235 +/- 0.000;1.006 +/- 0.000;0.224 +/- 0.000;1.0 +/- 0.000;0.042 +/- 0.000;0.506 +/- 0.000;0.05 +/- 0.000;1.414 +/- 0.000;0.956 +/- 0.000;0.69 +/- 0.000;2.125 +/- 0.000;0.492 +/- 0.000;0.956 +/- 0.000;2.49 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.332 +/- 0.000;0.006 +/- 0.000
