tuple_pair,Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,class
"t0,t74",2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0
"t0,t75",1.0,5.0,0.0,2.0,3.0,0.0,5.0,3.0,2.0,0.0
"t0,t76",1.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0
"t0,t77",2.0,2.0,2.0,4.0,3.0,0.0,1.0,6.0,0.0,0.0
"t0,t78",3.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,0.0
"t0,t79",2.0,0.0,1.0,5.0,0.0,5.0,6.0,2.0,0.0,0.0
"t0,t80",0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,5.0,0.0
"t0,t81",0.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
"t0,t82",2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0
"t0,t83",2.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0
"t0,t84",0.0,3.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,0.0
"t0,t85",2.0,0.0,3.0,1.0,1.0,6.0,1.0,3.0,1.0,0.0
"t0,t86",2.0,4.0,6.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0
"t0,t87",4.0,9.0,9.0,5.0,6.0,5.0,7.0,6.0,0.0,0.0
"t0,t88",1.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,0.0,0.0
"t0,t89",2.0,5.0,5.0,2.0,4.0,0.0,2.0,2.0,1.0,0.0
"t0,t90",2.0,5.0,3.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0
"t0,t91",0.0,1.0,1.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0
"t0,t92",1.0,6.0,3.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0
"t0,t93",2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0
"t0,t94",2.0,6.0,5.0,3.0,2.0,0.0,5.0,6.0,0.0,0.0
"t0,t95",2.0,2.0,2.0,6.0,1.0,0.0,5.0,1.0,9.0,0.0
"t0,t96",1.0,2.0,2.0,3.0,1.0,8.0,5.0,3.0,3.0,0.0
"t0,t97",0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,9.0,0.0
"t0,t98",2.0,6.0,7.0,6.0,4.0,0.0,4.0,4.0,1.0,0.0
"t0,t99",0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
"t0,t100",0.0,6.0,6.0,7.0,5.0,1.0,6.0,4.0,0.0,0.0
"t0,t101",2.0,6.0,6.0,2.0,5.0,0.0,4.0,4.0,2.0,0.0
"t0,t102",2.0,0.0,0.0,6.0,1.0,0.0,2.0,4.0,2.0,0.0
"t0,t103",3.0,4.0,4.0,6.0,3.0,0.0,6.0,1.0,0.0,0.0
"t0,t104",2.0,5.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0,0.0
"t0,t105",3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0
"t0,t106",2.0,6.0,6.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0
"t0,t107",1.0,1.0,6.0,2.0,3.0,7.0,4.0,4.0,2.0,0.0
"t0,t108",2.0,0.0,4.0,5.0,4.0,0.0,5.0,4.0,1.0,0.0
"t0,t109",5.0,7.0,5.0,6.0,4.0,0.0,2.0,6.0,0.0,0.0
"t0,t110",2.0,2.0,2.0,6.0,4.0,6.0,1.0,0.0,7.0,0.0
"t0,t111",0.0,6.0,3.0,7.0,4.0,0.0,6.0,2.0,1.0,0.0
"t0,t112",5.0,7.0,5.0,6.0,4.0,0.0,2.0,6.0,0.0,0.0
"t0,t113",1.0,8.0,6.0,7.0,4.0,6.0,6.0,4.0,0.0,0.0
"t0,t114",2.0,5.0,3.0,5.0,4.0,3.0,6.0,4.0,7.0,0.0
"t0,t115",7.0,6.0,7.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0
"t0,t116",2.0,6.0,4.0,7.0,5.0,0.0,4.0,4.0,0.0,0.0
"t0,t117",1.0,6.0,5.0,2.0,5.0,0.0,6.0,1.0,1.0,0.0
"t0,t118",0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
"t0,t119",2.0,0.0,0.0,2.0,3.0,0.0,5.0,3.0,9.0,0.0
"t0,t120",2.0,9.0,7.0,7.0,3.0,5.0,4.0,3.0,0.0,0.0
"t0,t121",3.0,4.0,4.0,0.0,1.0,0.0,5.0,3.0,3.0,0.0
"t0,t122",2.0,6.0,6.0,2.0,5.0,0.0,7.0,4.0,0.0,0.0
"t0,t123",3.0,5.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0
"t0,t124",1.0,9.0,8.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0
"t0,t125",0.0,7.0,6.0,1.0,4.0,0.0,6.0,4.0,0.0,0.0
"t0,t126",1.0,2.0,3.0,2.0,3.0,7.0,1.0,1.0,3.0,0.0
"t0,t127",0.0,4.0,6.0,2.0,3.0,9.0,6.0,2.0,0.0,0.0
"t0,t128",3.0,5.0,5.0,6.0,2.0,0.0,5.0,4.0,0.0,0.0
"t0,t129",2.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
"t0,t130",3.0,6.0,4.0,2.0,5.0,0.0,5.0,6.0,0.0,0.0
"t0,t131",2.0,9.0,9.0,7.0,5.0,0.0,4.0,3.0,0.0,0.0
"t0,t132",0.0,0.0,7.0,6.0,1.0,6.0,6.0,3.0,0.0,0.0
"t0,t133",2.0,6.0,3.0,6.0,5.0,2.0,3.0,6.0,0.0,0.0
"t0,t134",3.0,6.0,4.0,2.0,3.0,0.0,5.0,4.0,0.0,0.0
"t0,t135",0.0,4.0,3.0,5.0,4.0,0.0,6.0,3.0,1.0,0.0
"t0,t136",2.0,5.0,5.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0
"t0,t137",2.0,7.0,7.0,7.0,5.0,0.0,2.0,1.0,0.0,0.0
"t0,t138",1.0,4.0,6.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0
"t0,t139",5.0,6.0,6.0,2.0,2.0,9.0,6.0,4.0,0.0,0.0
"t0,t140",4.0,8.0,7.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0
"t0,t141",6.0,3.0,0.0,2.0,0.0,0.0,5.0,2.0,3.0,0.0
"t0,t142",3.0,7.0,7.0,7.0,4.0,7.0,6.0,4.0,2.0,0.0
"t0,t143",0.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0,7.0,0.0
"t0,t144",0.0,0.0,5.0,5.0,1.0,6.0,5.0,3.0,2.0,0.0
"t0,t145",2.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,9.0,0.0
"t0,t146",5.0,0.0,7.0,2.0,1.0,0.0,4.0,6.0,3.0,0.0
"t0,t147",2.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,6.0,0.0
"t0,t148",3.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0
"t0,t149",2.0,4.0,7.0,2.0,3.0,0.0,2.0,1.0,3.0,0.0
"t0,t150",1.0,4.0,4.0,5.0,5.0,0.0,2.0,6.0,0.0,0.0
"t0,t151",2.0,2.0,3.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0
"t0,t152",5.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,7.0,0.0
"t0,t153",2.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0
"t0,t154",0.0,5.0,4.0,6.0,4.0,0.0,3.0,1.0,0.0,0.0
"t0,t155",0.0,3.0,2.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0
"t0,t156",2.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0
"t0,t157",1.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0
"t0,t158",0.0,3.0,2.0,6.0,3.0,8.0,4.0,3.0,0.0,0.0
"t0,t159",2.0,2.0,0.0,7.0,4.0,0.0,4.0,6.0,0.0,0.0
"t0,t160",2.0,0.0,0.0,7.0,1.0,9.0,7.0,1.0,0.0,0.0
"t0,t161",2.0,6.0,7.0,2.0,3.0,0.0,1.0,6.0,0.0,0.0
"t0,t162",3.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
"t0,t163",4.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"t0,t164",2.0,8.0,8.0,7.0,5.0,4.0,8.0,6.0,1.0,0.0
"t0,t165",2.0,4.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
"t0,t166",0.0,2.0,1.0,2.0,1.0,7.0,1.0,3.0,0.0,0.0
"t0,t167",2.0,1.0,2.0,1.0,1.0,6.0,2.0,3.0,2.0,0.0
"t0,t168",2.0,4.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
"t0,t169",2.0,4.0,4.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0
"t0,t170",4.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0
"t0,t171",1.0,0.0,0.0,2.0,3.0,5.0,1.0,3.0,9.0,0.0
"t0,t172",0.0,3.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0
"t0,t173",2.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,4.0,0.0
"t0,t174",5.0,4.0,6.0,2.0,4.0,7.0,6.0,3.0,0.0,0.0
"t0,t175",2.0,7.0,8.0,7.0,4.0,6.0,5.0,6.0,0.0,0.0
"t0,t176",3.0,2.0,1.0,4.0,4.0,0.0,2.0,6.0,0.0,0.0
"t0,t177",3.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0
"t0,t178",0.0,0.0,0.0,2.0,0.0,5.0,5.0,1.0,6.0,0.0
"t0,t179",2.0,4.0,3.0,2.0,4.0,0.0,1.0,3.0,1.0,0.0
"t0,t180",4.0,0.0,6.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
"t0,t181",4.0,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,0.0
"t0,t182",1.0,5.0,4.0,2.0,3.0,0.0,4.0,4.0,0.0,0.0
"t0,t183",1.0,6.0,6.0,5.0,3.0,0.0,3.0,2.0,0.0,0.0
"t0,t184",2.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0
"t0,t185",1.0,2.0,7.0,1.0,3.0,5.0,2.0,1.0,1.0,0.0
"t0,t186",3.0,3.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0
"t0,t187",0.0,6.0,6.0,7.0,1.0,0.0,7.0,2.0,1.0,0.0
"t0,t188",0.0,0.0,6.0,4.0,1.0,0.0,1.0,5.0,0.0,0.0
"t0,t189",2.0,1.0,3.0,5.0,3.0,8.0,2.0,0.0,0.0,0.0
"t0,t190",3.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
"t0,t191",2.0,0.0,5.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0
"t0,t192",0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0
"t0,t193",1.0,2.0,2.0,1.0,1.0,7.0,5.0,6.0,0.0,0.0
"t0,t194",4.0,0.0,2.0,3.0,3.0,9.0,1.0,6.0,0.0,0.0
"t0,t195",6.0,5.0,3.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0
"t0,t196",2.0,7.0,6.0,3.0,4.0,0.0,5.0,6.0,0.0,0.0
"t0,t197",4.0,2.0,4.0,5.0,3.0,0.0,2.0,6.0,0.0,0.0
"t0,t198",3.0,6.0,4.0,0.0,3.0,9.0,1.0,3.0,0.0,0.0
"t0,t199",3.0,7.0,8.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0
"t0,t200",2.0,5.0,0.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0
"t0,t201",3.0,0.0,0.0,2.0,3.0,0.0,1.0,6.0,0.0,0.0
"t0,t202",3.0,0.0,0.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0
"t0,t203",0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,9.0,0.0
"t0,t204",4.0,4.0,4.0,3.0,0.0,4.0,2.0,0.0,2.0,0.0
"t0,t205",0.0,3.0,6.0,4.0,2.0,7.0,4.0,3.0,0.0,0.0
"t0,t206",2.0,0.0,3.0,0.0,0.0,9.0,1.0,3.0,2.0,0.0
"t0,t207",3.0,0.0,0.0,2.0,3.0,8.0,1.0,3.0,9.0,0.0
"t0,t208",1.0,2.0,2.0,1.0,4.0,0.0,2.0,5.0,2.0,0.0
"t0,t209",3.0,3.0,6.0,7.0,1.0,9.0,2.0,3.0,2.0,0.0
"t0,t210",3.0,0.0,0.0,0.0,2.0,5.0,2.0,3.0,0.0,0.0
"t0,t211",5.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0
"t0,t212",2.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,6.0,0.0
"t0,t213",3.0,0.0,0.0,3.0,3.0,5.0,5.0,3.0,0.0,0.0
"t0,t214",3.0,0.0,0.0,5.0,0.0,7.0,1.0,3.0,1.0,0.0
"t0,t215",4.0,2.0,4.0,4.0,4.0,6.0,1.0,1.0,0.0,0.0
"t0,t216",4.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,0.0,0.0
"t0,t217",3.0,4.0,5.0,2.0,3.0,9.0,6.0,6.0,0.0,0.0
"t0,t218",1.0,6.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0
"t0,t219",2.0,0.0,0.0,2.0,3.0,9.0,1.0,1.0,7.0,0.0
"t0,t220",1.0,7.0,6.0,4.0,4.0,7.0,6.0,5.0,6.0,0.0
"t0,t221",3.0,7.0,5.0,7.0,1.0,0.0,4.0,4.0,0.0,0.0
"t0,t222",2.0,2.0,0.0,2.0,1.0,9.0,6.0,6.0,9.0,0.0
"t0,t223",0.0,3.0,4.0,4.0,3.0,0.0,4.0,6.0,0.0,0.0
"t0,t224",2.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0
"t0,t225",1.0,0.0,0.0,7.0,3.0,2.0,6.0,4.0,0.0,0.0
"t0,t226",0.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0
"t0,t227",0.0,6.0,0.0,3.0,3.0,6.0,2.0,3.0,0.0,0.0
"t0,t228",2.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0
"t0,t229",2.0,2.0,6.0,4.0,3.0,0.0,6.0,3.0,3.0,0.0
"t0,t230",1.0,4.0,7.0,6.0,2.0,0.0,2.0,3.0,5.0,0.0
"t0,t231",2.0,6.0,4.0,4.0,2.0,0.0,2.0,6.0,0.0,0.0
"t0,t232",0.0,5.0,5.0,3.0,5.0,0.0,5.0,4.0,0.0,0.0
"t0,t233",2.0,7.0,5.0,4.0,4.0,3.0,6.0,2.0,2.0,0.0
"t0,t234",2.0,6.0,5.0,4.0,4.0,5.0,2.0,4.0,0.0,0.0
"t0,t235",2.0,0.0,2.0,2.0,1.0,5.0,1.0,4.0,0.0,0.0
"t0,t236",1.0,4.0,0.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0
"t0,t237",2.0,6.0,7.0,2.0,4.0,0.0,2.0,6.0,1.0,0.0
"t0,t238",3.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,2.0,0.0
"t1,t2",3.0,4.0,2.0,7.0,5.0,6.0,1.0,1.0,3.0,0.0
"t1,t3",2.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0
"t1,t4",5.0,4.0,4.0,3.0,2.0,7.0,0.0,3.0,1.0,0.0
"t1,t5",2.0,0.0,1.0,7.0,3.0,7.0,1.0,0.0,3.0,0.0
"t1,t6",5.0,2.0,2.0,0.0,4.0,4.0,3.0,6.0,0.0,0.0
"t1,t7",0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0
"t1,t8",5.0,4.0,4.0,0.0,6.0,2.0,3.0,0.0,2.0,0.0
"t1,t9",5.0,7.0,7.0,5.0,4.0,2.0,4.0,5.0,0.0,0.0
"t1,t10",0.0,1.0,1.0,6.0,0.0,7.0,1.0,2.0,0.0,0.0
"t1,t11",3.0,2.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0
"t1,t12",5.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0
"t1,t13",1.0,7.0,7.0,1.0,6.0,7.0,3.0,1.0,2.0,0.0
"t1,t14",5.0,7.0,7.0,1.0,6.0,2.0,4.0,6.0,0.0,0.0
"t1,t15",2.0,4.0,4.0,1.0,2.0,6.0,0.0,4.0,0.0,0.0
"t1,t16",2.0,5.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0,0.0
"t1,t17",4.0,2.0,5.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0
"t1,t18",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
"t1,t19",5.0,0.0,3.0,1.0,1.0,2.0,0.0,6.0,1.0,0.0
"t1,t20",0.0,2.0,2.0,5.0,8.0,5.0,3.0,1.0,6.0,0.0
"t1,t21",5.0,2.0,2.0,3.0,6.0,5.0,3.0,3.0,0.0,0.0
"t1,t22",5.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
"t1,t23",3.0,7.0,7.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0
"t1,t24",3.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,0.0
"t1,t25",0.0,1.0,0.0,2.0,4.0,7.0,1.0,3.0,0.0,0.0
"t1,t26",4.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
"t1,t27",0.0,0.0,2.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0
"t1,t28",4.0,7.0,7.0,2.0,8.0,5.0,1.0,1.0,0.0,0.0
"t1,t29",1.0,0.0,1.0,2.0,3.0,1.0,1.0,5.0,0.0,0.0
"t1,t30",5.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,0.0
"t1,t31",0.0,0.0,1.0,2.0,6.0,7.0,0.0,5.0,0.0,0.0
"t1,t32",3.0,0.0,5.0,0.0,2.0,6.0,4.0,5.0,7.0,0.0
"t1,t33",1.0,7.0,1.0,5.0,8.0,1.0,3.0,4.0,9.0,0.0
"t1,t34",5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0
"t1,t35",2.0,2.0,4.0,5.0,6.0,6.0,3.0,6.0,6.0,0.0
"t1,t36",0.0,7.0,3.0,2.0,8.0,1.0,0.0,6.0,9.0,0.0
"t1,t37",2.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0
"t1,t38",2.0,3.0,3.0,3.0,3.0,7.0,2.0,4.0,2.0,0.0
"t1,t39",4.0,3.0,6.0,1.0,8.0,3.0,2.0,5.0,9.0,0.0
"t1,t40",2.0,2.0,3.0,7.0,3.0,7.0,3.0,5.0,3.0,0.0
"t1,t41",5.0,0.0,2.0,2.0,8.0,2.0,1.0,6.0,1.0,0.0
"t1,t42",3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0
"t1,t43",3.0,1.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,0.0
"t1,t44",5.0,7.0,7.0,5.0,0.0,7.0,0.0,3.0,0.0,0.0
"t1,t45",4.0,3.0,5.0,7.0,6.0,7.0,1.0,3.0,0.0,0.0
"t1,t46",1.0,2.0,1.0,1.0,1.0,6.0,3.0,4.0,2.0,0.0
"t1,t47",3.0,3.0,1.0,0.0,3.0,6.0,1.0,3.0,0.0,0.0
"t1,t48",5.0,0.0,0.0,7.0,0.0,7.0,3.0,1.0,2.0,0.0
"t1,t49",5.0,7.0,7.0,0.0,8.0,5.0,4.0,3.0,0.0,0.0
"t1,t50",1.0,2.0,2.0,7.0,2.0,7.0,3.0,1.0,7.0,0.0
"t1,t51",5.0,7.0,7.0,1.0,8.0,7.0,1.0,1.0,2.0,0.0
"t1,t52",0.0,1.0,3.0,4.0,7.0,4.0,4.0,6.0,0.0,0.0
"t1,t53",2.0,2.0,0.0,4.0,2.0,7.0,3.0,1.0,4.0,0.0
"t1,t54",3.0,0.0,2.0,1.0,3.0,7.0,3.0,2.0,1.0,0.0
"t1,t55",0.0,7.0,5.0,7.0,6.0,7.0,1.0,2.0,2.0,0.0
"t1,t56",4.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0
"t1,t57",2.0,1.0,2.0,1.0,4.0,5.0,0.0,3.0,0.0,0.0
"t1,t58",3.0,5.0,4.0,1.0,8.0,7.0,3.0,4.0,6.0,0.0
