tuple_pair,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,class
"t0,t44",4,3,6,1,2,3,22,5,2,14,17,87,17,9,16,8,17,13,0
"t0,t45",7,5,2,19,5,0,5,1,0,14,11,20,21,8,12,2,14,14,0
"t0,t46",8,8,14,33,7,2,21,9,1,20,18,81,36,2,16,11,7,7,0
"t0,t47",1,0,4,26,10,2,18,5,1,4,20,78,2,11,16,6,17,13,0
"t0,t48",4,4,9,2,0,1,19,5,2,4,17,78,23,5,16,1,11,8,0
"t0,t49",0,4,0,2,2,0,2,0,0,5,1,9,33,1,13,5,2,2,0
"t0,t50",0,0,7,29,10,2,18,4,1,8,18,70,6,12,5,1,19,14,0
"t0,t51",3,5,3,18,4,1,13,4,1,11,17,52,41,12,15,12,18,15,0
"t0,t52",7,5,20,43,8,4,19,9,1,16,16,73,7,15,8,10,19,24,0
"t0,t53",7,3,12,10,3,1,20,5,2,5,14,82,25,4,0,5,11,10,0
"t0,t54",1,7,10,35,10,1,10,4,0,13,1,39,43,3,16,10,8,14,0
"t0,t55",4,5,4,24,5,1,1,1,0,12,11,3,31,9,10,5,14,17,0
"t0,t56",2,2,14,14,3,0,8,3,0,3,5,32,6,5,11,0,9,9,0
"t0,t57",2,0,8,29,9,0,7,3,0,1,3,28,3,7,16,4,13,16,0
"t0,t58",0,3,16,45,15,1,6,4,0,0,4,32,3,15,9,6,19,26,0
"t0,t59",4,0,7,2,0,3,18,5,1,6,17,75,15,9,12,3,18,14,0
"t0,t60",3,5,1,30,8,2,20,4,2,19,13,73,28,15,16,9,21,19,0
"t0,t61",0,1,14,39,13,1,2,3,0,1,8,19,4,15,1,0,18,25,0
"t0,t62",4,2,3,84,38,35,18,4,2,15,44,66,18,27,8,5,20,18,0
"t0,t63",4,3,1,3,1,1,7,2,1,4,12,33,16,7,17,7,13,10,0
"t0,t64",2,3,14,3,1,3,23,6,2,12,20,91,12,7,10,9,14,10,0
"t0,t65",4,2,13,1,1,2,14,3,1,3,10,53,12,2,1,8,6,5,0
"t0,t66",6,4,3,13,2,1,10,3,1,7,15,44,22,9,17,6,15,12,0
"t0,t67",11,0,8,88,41,47,2,0,0,0,75,8,13,36,13,3,13,11,0
"t0,t68",1,8,12,15,2,1,6,2,0,18,3,23,44,3,9,5,7,9,0
"t0,t69",3,1,7,4,2,2,18,5,1,5,11,74,0,4,14,2,11,8,0
"t0,t70",2,2,6,21,7,1,12,3,1,2,14,49,1,9,8,2,14,11,0
"t0,t71",3,5,7,5,0,3,24,5,2,22,19,94,27,11,14,4,18,15,0
"t0,t72",0,3,4,17,6,3,22,5,2,15,24,90,30,14,15,8,20,16,0
"t0,t73",6,1,14,12,0,2,4,2,0,4,1,16,0,4,10,12,10,9,0
"t0,t74",2,4,4,2,4,2,6,2,1,8,8,27,1,5,4,3,12,9,0
"t0,t75",2,0,10,5,3,1,12,3,1,12,9,45,19,1,16,14,6,3,0
"t0,t76",8,8,31,52,9,5,20,9,1,23,20,78,20,26,12,3,23,26,0
"t0,t77",8,7,12,39,9,3,17,8,1,17,16,69,28,10,16,6,17,20,0
"t0,t78",1,3,12,51,16,1,2,2,1,5,3,4,11,22,5,7,21,27,0
"t0,t79",3,2,16,15,4,2,9,4,0,4,7,35,2,2,4,8,2,2,0
"t0,t80",6,3,3,0,4,2,9,2,1,6,11,36,2,7,17,1,14,11,0
"t0,t81",4,1,11,15,3,3,14,4,1,0,14,57,4,9,6,11,16,11,0
"t0,t82",5,0,6,26,9,3,17,4,1,5,18,69,5,10,11,10,18,14,0
"t0,t83",10,6,29,50,9,3,15,7,1,17,12,62,13,22,9,4,23,26,0
"t0,t84",3,4,20,45,13,2,4,4,0,6,2,26,9,23,11,12,22,28,0
"t0,t85",1,5,5,0,0,2,19,5,1,8,21,76,28,11,13,2,18,14,0
"t0,t86",5,8,18,19,5,1,9,4,0,16,9,35,50,1,16,6,1,1,0
"t0,t87",4,3,1,8,0,1,7,2,1,6,12,30,10,8,9,5,15,13,0
"t0,t88",0,5,6,12,1,3,19,4,2,20,15,73,29,10,9,3,18,15,0
"t0,t89",7,9,16,22,3,1,15,6,1,18,15,58,47,1,15,2,3,2,0
"t0,t90",3,3,5,25,6,3,24,5,2,13,14,92,27,13,17,3,21,17,0
"t0,t91",1,5,18,32,2,3,23,10,1,13,21,87,22,9,3,7,13,16,0
"t0,t92",0,2,5,20,8,2,20,5,2,10,24,83,29,12,16,9,19,13,0
"t0,t93",4,4,7,15,6,2,16,4,1,6,19,68,27,11,4,5,17,13,0
"t0,t94",2,3,2,0,2,3,25,6,2,10,19,100,13,11,9,8,19,17,0
"t0,t95",1,2,3,4,3,1,8,2,1,2,8,32,20,3,6,2,9,8,0
"t0,t96",5,5,8,37,12,0,7,5,0,6,1,38,27,11,17,1,17,25,0
"t0,t97",7,1,0,2,4,1,5,2,0,2,12,24,12,7,16,1,13,9,0
"t0,t98",3,1,15,18,5,1,6,2,0,3,2,22,3,2,2,9,6,6,0
"t0,t99",0,7,14,3,5,0,1,1,0,9,5,2,32,4,15,17,10,6,0
"t0,t100",1,2,7,2,1,2,21,5,2,12,18,86,3,5,16,6,14,11,0
"t0,t101",7,3,7,2,0,3,26,6,2,18,20,106,11,8,1,12,14,14,0
"t0,t102",8,4,10,43,12,3,9,5,0,10,8,40,17,12,9,4,21,23,0
"t0,t103",6,6,26,46,10,2,22,10,1,19,21,85,15,11,6,10,17,20,0
"t0,t104",3,5,0,20,5,3,23,5,2,15,17,89,26,13,7,1,20,18,0
"t0,t105",2,6,2,24,9,0,5,3,0,10,1,25,35,6,17,0,12,18,0
"t0,t106",3,3,8,42,14,0,0,2,0,4,6,12,20,17,7,1,20,27,0
"t0,t107",8,6,10,17,4,2,7,3,0,15,6,28,38,2,14,2,8,7,0
"t0,t108",2,3,0,14,3,1,10,3,1,7,12,42,40,7,4,1,14,10,0
"t0,t109",3,4,5,26,6,3,24,6,2,8,16,95,26,14,6,4,20,19,0
"t0,t110",4,6,27,51,10,3,17,8,1,18,18,68,12,19,10,8,22,27,0
"t0,t111",4,3,1,37,12,2,19,4,2,15,15,70,18,15,10,5,20,19,0
"t0,t112",10,6,16,49,11,2,15,7,1,16,13,63,24,16,17,5,22,25,0
"t0,t113",9,6,25,41,5,3,14,7,1,20,15,60,26,19,10,11,24,27,0
"t0,t114",2,1,12,20,6,1,3,2,0,3,7,13,5,6,11,7,12,13,0
"t0,t115",4,4,3,15,0,3,19,4,2,18,14,71,29,13,11,1,19,17,0
"t0,t116",4,8,8,24,6,1,11,5,1,17,9,44,47,1,13,7,4,3,0
"t0,t117",10,3,25,48,11,2,5,5,0,5,14,34,2,23,9,5,27,27,0
"t0,t118",5,1,12,29,7,2,14,6,1,1,9,54,1,3,9,8,10,12,0
"t0,t119",7,4,18,22,4,1,18,7,1,11,16,69,18,2,10,4,3,3,0
"t0,t120",2,6,4,23,8,3,22,5,2,17,17,84,26,12,10,2,21,19,0
"t0,t121",4,7,10,21,5,0,2,1,0,15,10,10,32,10,10,11,14,14,0
"t0,t122",3,4,21,48,16,1,2,3,0,6,1,20,8,22,5,4,20,28,0
"t0,t123",5,2,2,15,2,0,9,3,1,1,13,37,2,8,13,4,15,13,0
"t0,t124",6,2,12,23,6,0,3,1,0,3,12,13,16,10,14,0,15,14,0
"t0,t125",0,0,10,8,2,1,13,3,1,2,8,53,16,2,15,5,7,4,0
"t0,t126",8,2,7,12,1,0,6,2,1,2,15,26,20,9,15,9,16,14,0
"t0,t127",0,3,7,7,2,1,14,4,1,2,13,58,20,4,17,8,8,6,0
"t0,t128",7,5,3,26,6,2,24,5,2,18,14,90,26,12,14,11,20,18,0
"t0,t129",0,2,3,38,13,1,3,1,0,4,8,3,10,14,12,3,19,25,0
"t0,t130",7,4,20,37,9,3,20,9,1,11,16,77,11,6,10,6,13,16,0
"t0,t131",5,1,7,23,8,3,20,5,2,10,20,82,16,13,12,4,19,15,0
"t0,t132",4,2,6,21,6,1,12,3,1,0,16,49,3,9,13,6,15,10,0
"t0,t133",0,1,8,31,8,1,10,5,0,0,0,41,7,11,12,8,14,20,0
"t0,t134",7,0,10,12,0,1,1,0,0,2,5,4,15,6,11,12,11,9,0
"t0,t135",3,3,2,19,2,3,22,5,2,11,13,85,27,11,0,5,18,17,0
"t0,t136",1,3,4,1,1,1,9,3,1,5,9,38,22,1,8,12,4,4,0
"t0,t137",2,2,4,8,1,1,8,2,1,0,7,33,19,1,13,4,4,3,0
"t0,t138",4,3,4,27,5,1,20,4,2,13,14,75,18,16,5,9,19,19,0
"t0,t139",3,4,1,2,2,0,3,1,0,5,5,13,35,1,2,9,2,2,0
"t0,t140",4,3,18,31,8,2,19,8,1,8,13,72,6,2,7,4,10,11,0
"t0,t141",1,8,20,26,6,2,15,7,1,13,14,59,43,1,11,5,6,7,0
"t0,t142",7,4,16,33,5,2,21,9,1,10,19,78,14,1,10,3,4,6,0
"t0,t143",1,4,7,171,74,41,18,5,1,10,164,73,28,72,5,3,15,14,0
"t0,t144",2,1,12,11,1,1,0,0,0,1,10,1,8,9,16,3,15,16,0
"t0,t145",4,7,27,53,12,2,19,9,1,16,19,75,34,17,15,2,22,25,0
"t0,t146",2,0,2,20,7,2,14,4,1,4,17,58,0,8,15,11,16,10,0
"t0,t147",3,0,6,5,0,0,1,1,0,0,2,2,8,1,13,6,2,1,0
"t0,t148",4,1,8,25,6,2,1,1,0,1,12,8,7,15,7,9,17,23,0
"t0,t149",7,8,34,52,10,6,18,9,1,24,17,73,22,27,11,11,23,27,0
"t0,t150",4,7,10,13,4,0,4,2,0,11,3,16,40,1,11,6,2,1,0
"t0,t151",10,2,5,1,4,0,5,2,0,1,13,24,20,8,7,9,12,11,0
"t0,t152",3,1,9,10,0,1,2,1,0,0,9,9,3,12,14,10,16,19,0
"t0,t153",4,1,2,37,10,2,19,4,2,6,7,71,17,13,5,0,19,17,0
"t0,t154",0,1,14,4,4,1,3,1,0,3,7,13,11,8,10,1,11,9,0
"t0,t155",3,3,3,29,9,3,23,5,2,16,17,88,12,14,17,4,21,18,0
"t0,t156",2,4,10,0,0,3,22,5,2,12,20,90,26,8,5,1,14,12,0
"t0,t157",7,6,18,47,10,3,18,8,1,13,15,72,30,9,15,4,17,20,0
"t0,t158",1,6,9,25,10,3,21,5,2,17,22,85,27,12,12,7,20,16,0
"t0,t159",4,1,12,37,11,1,6,3,0,1,6,27,3,10,7,5,15,19,0
"t0,t160",8,4,21,36,8,2,23,10,1,10,22,86,14,1,0,5,6,8,0
"t0,t161",1,1,10,12,0,1,9,4,0,2,2,35,0,6,3,7,11,14,0
"t0,t162",5,7,25,49,7,5,19,9,1,17,19,77,23,25,10,2,23,27,0
"t0,t163",3,2,9,7,3,2,17,4,1,4,11,70,15,4,8,4,11,9,0
"t0,t164",5,6,27,57,12,3,18,9,1,17,21,74,34,23,9,4,24,27,0
"t0,t165",0,4,7,1,2,3,19,4,2,13,16,74,19,11,10,3,20,15,0
"t0,t166",4,1,7,18,6,2,15,4,1,1,17,64,2,9,9,1,16,13,0
"t0,t167",3,0,3,69,33,38,13,3,1,4,44,51,5,28,12,3,17,14,0
"t0,t168",3,4,7,17,6,1,15,4,1,10,19,64,25,10,13,10,17,13,0
"t0,t169",8,7,27,47,8,3,18,9,1,21,17,74,32,18,4,7,22,26,0
"t0,t170",5,9,20,22,5,2,10,4,0,15,8,38,46,0,13,2,4,4,0
"t0,t171",3,5,8,144,62,41,16,4,1,11,116,65,41,55,17,3,18,16,0
"t0,t172",5,4,2,7,2,0,0,0,0,8,0,0,35,0,14,6,2,1,0
"t0,t173",4,2,16,29,8,1,7,4,0,2,2,34,2,15,12,5,19,24,0
"t0,t174",0,2,1,3,1,0,7,2,1,5,9,28,25,4,13,3,8,7,0
"t0,t175",3,3,10,12,4,2,18,5,1,3,17,73,23,6,3,3,9,8,0
"t0,t176",5,4,10,26,8,0,6,4,0,1,3,30,25,9,13,2,17,23,0
"t0,t177",0,6,8,36,12,1,10,5,0,8,0,43,40,8,15,1,12,20,0
"t0,t178",3,3,10,2,0,1,14,4,1,3,17,58,23,7,2,1,11,11,0
"t0,t179",4,2,10,11,3,2,20,5,2,12,17,84,2,4,9,0,11,10,0
"t0,t180",4,3,0,12,1,3,23,5,2,15,14,86,17,10,12,3,18,16,0
"t0,t181",1,6,6,16,4,1,4,2,0,10,5,19,31,6,15,5,11,15,0
"t0,t182",1,7,12,11,3,0,4,2,0,10,2,16,40,1,8,9,2,2,0
"t0,t183",1,2,12,37,12,1,2,2,0,2,4,6,2,18,10,7,21,26,0
"t0,t184",4,4,2,31,10,3,23,5,2,18,19,88,15,14,16,5,21,17,0
"t0,t185",7,3,12,23,5,1,15,6,1,6,11,56,16,0,10,1,1,2,0
"t0,t186",0,3,5,23,6,2,1,1,0,7,10,6,22,10,17,12,16,22,0
"t0,t187",1,5,9,0,0,2,20,5,2,16,23,82,27,12,13,3,19,15,0
"t0,t188",5,1,10,14,3,2,21,5,2,4,17,86,5,3,3,3,9,8,0
"t0,t189",2,4,1,9,5,0,2,0,0,6,3,8,36,1,9,5,2,1,0
"t0,t190",0,1,12,4,1,2,16,4,1,11,14,67,16,3,8,5,9,7,0
"t0,t191",1,2,7,1,4,2,20,4,2,11,14,76,17,10,0,1,16,15,0
"t0,t192",4,2,15,28,5,2,14,7,1,8,8,58,9,13,5,9,17,22,0
"t0,t193",5,1,14,11,2,0,7,3,0,3,6,28,2,0,14,10,0,0,0
"t0,t194",9,6,8,12,3,1,0,1,0,5,0,3,38,1,17,11,7,5,0
"t0,t195",4,4,6,29,9,3,20,4,2,15,13,73,17,11,12,3,21,18,0
"t0,t196",8,2,2,8,0,1,10,3,1,3,13,43,15,8,16,8,15,11,0
"t0,t197",3,5,0,28,8,3,23,5,2,22,13,85,26,13,16,2,21,18,0
"t0,t198",5,5,12,32,9,1,7,3,0,7,4,30,36,6,14,0,12,16,0
"t1,t2",7,7,13,23,6,1,30,8,3,26,19,117,26,15,12,6,22,19,0
"t1,t3",6,9,5,39,13,16,17,3,2,26,6,62,46,10,3,4,10,11,0
"t1,t4",3,3,9,14,2,3,2,0,0,7,8,7,12,2,6,4,1,4,0
"t1,t5",11,8,11,10,5,1,23,8,2,24,8,100,37,3,6,13,1,7,0
"t1,t6",10,9,9,5,1,1,24,8,2,25,10,105,36,1,10,1,2,8,0
"t1,t7",0,2,7,12,3,2,2,1,0,9,2,4,3,1,9,14,1,2,0
"t1,t8",5,0,10,28,7,1,2,1,1,10,11,3,10,2,0,2,3,5,0
"t1,t9",13,8,7,0,4,2,23,7,2,23,4,97,42,2,3,6,4,5,0
"t1,t10",5,4,9,36,12,0,20,4,2,19,6,77,12,10,2,4,11,11,0
"t1,t11",5,2,10,20,4,2,2,1,0,2,5,7,10,2,0,4,0,1,0
"t1,t12",8,0,10,40,12,3,2,1,1,8,11,4,2,1,1,2,2,5,0
"t1,t13",9,2,12,38,11,1,0,1,0,7,11,5,27,2,3,7,1,3,0
"t1,t14",9,2,7,16,3,1,2,1,0,5,8,9,10,1,9,0,1,1,0
"t1,t15",0,2,2,46,16,1,14,2,2,17,5,51,0,6,1,7,8,8,0
"t1,t16",6,5,5,41,13,1,9,0,1,20,3,27,29,7,2,2,7,8,0
"t1,t17",5,1,3,22,7,2,4,1,0,6,4,16,10,2,1,5,2,2,0
"t1,t18",5,0,10,40,11,1,6,2,0,5,9,31,9,4,8,7,3,4,0
"t1,t19",2,11,22,4,5,5,39,13,3,40,30,153,38,8,8,8,2,8,0
"t1,t20",2,7,16,5,0,2,25,8,2,28,23,108,19,7,11,1,5,8,0
"t1,t21",5,3,3,36,11,1,20,4,2,21,9,75,5,12,8,3,14,12,0
"t1,t22",8,11,12,18,4,1,25,6,2,29,10,98,55,10,2,20,11,10,0
"t1,t23",7,4,5,3,1,3,18,5,2,21,4,76,4,2,3,9,1,6,0
"t1,t24",13,3,3,39,10,1,15,3,2,17,8,58,5,14,18,5,19,16,0
"t1,t25",1,10,6,29,10,1,19,4,2,31,5,74,52,6,0,1,7,4,0
"t1,t26",1,11,5,22,8,0,24,6,2,35,15,92,49,11,1,3,12,11,0
"t1,t27",10,5,10,53,13,0,4,0,1,21,0,11,26,12,10,2,14,13,0
"t1,t28",10,3,9,37,9,1,12,2,1,17,5,46,10,13,9,1,17,15,0
"t1,t29",10,1,8,57,19,1,5,2,0,6,8,21,8,7,5,9,5,6,0
"t1,t30",12,12,9,30,11,1,29,8,2,36,20,112,64,11,5,5,13,9,0
"t1,t31",8,6,7,38,10,0,13,2,1,22,8,49,49,14,5,3,17,16,0
"t1,t32",11,2,5,41,10,0,11,2,1,17,7,42,15,13,4,3,17,16,0
"t1,t33",6,6,9,10,3,0,31,9,2,21,9,121,21,5,2,3,9,3,0
"t1,t34",9,1,16,54,17,3,0,1,0,10,4,0,16,8,14,14,8,9,0
"t1,t35",3,7,20,7,0,2,25,9,2,26,26,109,18,10,1,0,6,8,0
"t1,t36",9,3,9,17,4,1,1,0,0,5,3,7,11,0,4,1,0,0,0
"t1,t37",4,7,17,16,5,2,35,10,3,25,22,133,26,14,6,3,17,15,0
"t1,t38",2,5,11,29,11,1,24,6,2,23,11,94,17,10,6,6,11,10,0
"t1,t39",1,10,5,24,9,0,21,4,2,31,9,78,36,9,10,2,12,11,0
"t1,t40",6,11,15,5,3,3,38,12,3,35,29,147,58,10,5,7,10,7,0
"t1,t41",4,0,8,201,80,39,1,1,0,2,61,6,0,20,1,7,2,3,0
"t1,t42",4,2,10,28,6,2,1,1,0,7,9,4,3,2,11,9,1,2,0
"t1,t43",1,3,5,19,5,2,1,0,0,8,2,9,0,3,4,10,1,2,0
"t1,t44",4,1,9,42,13,2,2,1,0,6,5,10,0,5,0,13,4,6,0
"t1,t45",1,9,1,22,6,1,15,3,2,34,1,57,38,6,4,3,7,5,0
"t1,t46",0,12,11,8,4,3,41,13,3,40,30,158,53,12,0,16,14,12,0
"t1,t47",9,4,7,15,1,1,2,1,1,16,8,1,15,3,0,1,4,6,0
"t1,t48",12,0,12,43,11,0,1,1,0,16,5,1,6,9,0,6,10,11,0
"t1,t49",8,8,3,43,13,1,18,4,2,25,11,68,50,13,3,0,19,17,0
"t1,t50",8,4,10,12,1,1,2,0,1,12,6,7,11,2,11,6,2,5,0
"t1,t51",5,1,6,23,7,0,7,0,1,9,5,25,24,2,1,7,3,4,0
"t1,t52",1,9,17,2,3,5,39,13,3,36,28,150,24,1,8,5,2,5,0
"t1,t53",15,1,15,51,14,0,0,1,0,15,2,5,8,10,16,0,10,9,0
"t1,t54",9,11,7,6,1,2,30,8,2,33,13,116,60,11,0,5,13,5,0
"t1,t55",4,9,1,17,6,2,21,5,2,32,1,80,48,5,6,0,7,2,0
"t1,t56",6,6,11,27,8,1,28,7,2,23,7,109,23,9,5,5,12,10,0
"t1,t57",6,4,5,12,2,1,27,7,2,19,9,105,20,7,0,1,8,3,0
"t1,t58",8,7,13,4,4,2,26,8,2,20,8,109,20,1,7,1,2,7,0
"t1,t59",4,4,10,39,11,2,2,1,1,14,5,2,2,5,4,2,3,5,0
"t1,t60",5,1,2,11,3,1,0,0,0,1,1,4,11,1,0,4,0,0,0
"t1,t61",8,5,11,2,2,2,22,7,2,21,4,96,21,1,15,5,3,6,0
"t1,t62",4,2,6,125,49,34,2,0,0,5,32,11,1,13,8,10,1,1,0
"t1,t63",4,7,2,38,12,0,13,2,1,24,0,44,33,7,1,2,8,9,0
"t1,t64",10,1,17,38,10,2,3,2,0,8,8,14,5,7,6,14,7,9,0
"t1,t65",12,2,16,40,10,1,6,1,1,17,2,24,5,12,17,13,15,14,0
"t1,t66",2,0,6,28,9,0,10,1,1,13,3,33,5,5,1,1,6,7,0
"t1,t67",3,4,5,129,52,46,18,4,2,20,63,69,4,22,3,2,8,8,0
"t1,t68",9,12,9,26,9,0,26,6,2,38,9,100,61,11,7,0,14,10,0
"t1,t69",11,3,10,45,13,1,2,1,1,15,1,3,17,10,2,3,10,11,0
"t1,t70",6,6,9,20,4,0,8,1,1,22,2,28,18,5,8,7,7,8,0
"t1,t71",5,1,10,36,11,2,4,1,0,2,7,17,10,3,2,9,3,4,0
"t1,t72",8,1,7,24,5,2,2,1,0,5,12,13,13,0,1,3,1,3,0
"t1,t73",2,5,11,29,11,1,24,6,2,24,11,93,17,10,6,7,11,10,0
"t1,t74",6,8,7,43,15,1,14,2,1,28,4,50,18,9,12,2,9,10,0
"t1,t75",6,4,13,36,8,0,8,1,1,8,3,32,36,13,0,19,15,16,0
"t1,t76",0,12,28,11,2,6,40,13,3,43,32,155,37,12,4,2,2,7,0
"t1,t77",0,11,9,2,2,4,37,12,3,37,28,146,45,4,0,11,4,1,0
"t1,t78",7,7,9,10,5,2,18,6,1,25,9,81,28,8,11,12,0,8,0
"t1,t79",5,6,13,26,7,3,29,8,2,24,19,112,19,16,12,3,19,17,0
"t1,t80",2,7,6,41,15,1,11,2,1,26,1,41,19,7,1,6,7,8,0
"t1,t81",4,5,14,26,8,2,6,0,1,20,2,20,13,5,10,16,5,8,0
"t1,t82",3,4,9,15,2,2,3,0,1,15,6,8,12,4,5,5,3,5,0
"t1,t83",2,10,26,9,2,4,35,11,3,37,24,139,30,8,7,9,2,7,0
"t1,t84",11,8,17,4,2,3,24,8,2,26,14,103,26,9,5,7,1,9,0
"t1,t85",9,1,8,41,11,1,1,1,1,12,9,1,11,3,3,7,3,5,0
"t1,t86",3,12,15,22,6,2,29,8,2,36,21,112,67,15,0,1,20,18,0
"t1,t87",4,7,4,33,11,0,13,2,1,26,0,47,27,6,7,0,6,6,0
"t1,t88",8,1,9,29,10,2,1,0,0,0,3,4,12,4,7,8,3,4,0
"t1,t89",1,13,13,19,8,2,35,10,3,38,27,135,64,13,1,7,18,17,0
"t1,t90",5,1,2,16,5,2,4,1,0,7,2,15,10,1,1,2,0,2,0
"t1,t91",7,9,15,9,9,4,43,14,3,33,33,164,39,5,13,2,8,3,0
"t1,t92",8,2,8,21,3,1,0,1,0,10,12,6,12,2,0,14,2,6,0
"t1,t93",4,0,10,26,5,1,4,0,1,14,7,9,10,3,12,0,4,6,0
"t1,t94",10,1,1,41,13,2,5,2,0,10,7,23,4,3,7,3,2,2,0
"t1,t95",9,2,6,45,14,0,12,2,1,18,4,45,3,11,10,7,12,11,0
"t1,t96",13,9,5,4,1,1,27,9,2,26,11,115,44,3,1,6,4,6,0
"t1,t97",1,3,3,43,15,0,15,2,2,18,0,53,5,7,0,4,8,10,0
"t1,t98",5,5,12,23,6,2,26,6,2,23,14,99,14,12,14,4,15,13,0
"t1,t99",8,11,11,44,16,1,21,5,2,29,7,79,49,10,1,22,11,13,0
"t1,t100",9,2,10,39,10,1,1,1,0,8,6,9,14,9,0,1,7,8,0
"t1,t101",15,1,10,43,11,2,6,2,0,2,8,29,6,6,17,7,7,5,0
"t1,t102",0,8,7,2,1,4,29,9,2,30,20,117,34,2,7,1,0,4,0
"t1,t103",2,10,23,5,1,3,42,14,3,39,33,162,32,3,10,15,4,1,0
"t1,t104",5,1,3,21,6,2,3,1,0,5,5,12,9,1,9,4,1,1,0
"t1,t105",6,10,1,17,2,1,25,7,2,30,11,102,52,8,1,5,9,1,0
"t1,t106",11,7,5,1,3,1,20,6,2,24,6,89,37,3,9,6,1,8,0
"t1,t107",0,10,7,24,7,3,27,7,2,35,18,105,55,12,2,7,13,12,0
"t1,t108",6,1,3,27,8,0,10,1,1,13,0,35,23,7,12,4,7,9,0
"t1,t109",5,0,2,15,5,2,4,2,0,12,4,18,9,0,10,1,1,0,0
